timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774391050691,-0.0131114,0.976848,0.127148,3.83334e-11,-1.1168100000000002e-10,7.012220000000002e-11,0,0,3.28883,5,0.773,2,2.0
1774391050704,-0.0132979,0.977332,0.126848,3.8967800000000005e-11,-1.1042400000000003e-10,6.89695e-11,0,0,3.22916,5,0.786,2,2.0
1774391050717,-0.0131528,0.977104,0.127348,3.99954e-11,-1.09409e-10,6.809650000000001e-11,0,0,3.28555,5,0.799,2,2.0
1774391050731,-0.0131003,0.97736,0.12718,3.9935600000000006e-11,-1.08151e-10,6.864520000000001e-11,0,0,3.24035,5,0.813,2,2.0
1774391050746,-0.0129103,0.9774,0.127084,4.077970000000001e-11,-1.0773600000000002e-10,6.847690000000001e-11,0,0,3.33586,5,0.828,2,2.0
1774391050759,-0.0128041,0.977492,0.12682,4.063300000000001e-11,-1.06873e-10,6.767490000000001e-11,0,0,3.26664,5,0.841,2,2.0
1774391050772,-0.0128853,0.977451,0.126697,4.0751800000000007e-11,-1.0725800000000002e-10,6.77754e-11,0,0,3.2787,5,0.854,2,2.0
1774391050786,-0.0128984,0.977756,0.126633,4.030670000000001e-11,-1.0629400000000001e-10,6.765600000000002e-11,0,0,3.27034,5,0.868,2,2.0
1774391050799,-0.0132115,0.977864,0.126883,3.9586500000000005e-11,-1.06583e-10,6.672900000000002e-11,0,0,3.25744,5,0.881,2,2.0
1774391050813,-0.0132317,0.978151,0.12679,3.847840000000001e-11,-1.0707100000000001e-10,6.649690000000001e-11,0,0,3.30846,5,0.895,2,2.0
1774391050826,-0.0132403,0.978295,0.126937,3.820380000000001e-11,-1.0693100000000002e-10,6.640650000000002e-11,0,0,3.26484,5,0.908,2,2.0
1774391050842,-0.0129913,0.978284,0.127162,3.70878e-11,-1.0709900000000001e-10,6.63211e-11,0,0,3.30444,5,0.924,2,2.0
1774391050855,-0.0131069,0.978562,0.127185,3.582020000000001e-11,-1.0764300000000003e-10,6.56835e-11,0,0,3.27794,5,0.937,2,2.0
1774391050872,-0.0129067,0.97872,0.127293,3.3852700000000006e-11,-1.0734300000000001e-10,6.503900000000001e-11,0,0,6.61623,5,0.954,2,2.0
1774391050885,-0.0129188,0.978808,0.127096,3.280970000000001e-11,-1.0675900000000002e-10,6.53731e-11,0,0,3.26418,5,0.967,2,2.0
1774391050899,-0.012727,0.978474,0.127111,3.08828e-11,-1.0578000000000001e-10,6.42748e-11,0,0,3.65864,5,0.981,2,2.0
1774391050912,-0.0127149,0.97855,0.126762,2.92355e-11,-1.05584e-10,6.362370000000001e-11,0,0,3.25088,5,0.994,2,2.0
1774391050926,-0.0126284,0.978859,0.126663,2.84089e-11,-1.0582800000000002e-10,6.343750000000001e-11,0,0,3.29375,5,1.008,2,2.0
1774391050939,-0.012503,0.978855,0.126323,2.6343700000000003e-11,-1.0588600000000001e-10,6.37329e-11,0,0,3.26621,5,1.021,2,2.0
1774391050953,-0.0125435,0.979001,0.126489,2.4737200000000006e-11,-1.0594100000000001e-10,6.23841e-11,0,0,3.26892,5,1.035,2,2.0
1774391050966,-0.0122613,0.979204,0.126702,2.2963800000000004e-11,-1.0505100000000002e-10,6.17536e-11,0,0,3.26942,5,1.048,2,2.0
1774391050979,-0.0121627,0.979259,0.126938,2.21465e-11,-1.0523900000000001e-10,6.12012e-11,0,0,3.23823,5,1.061,2,2.0
1774391050993,-0.0122074,0.979163,0.126778,2.1418e-11,-1.0473099999999999e-10,6.059420000000001e-11,0,0,3.28696,5,1.075,2,2.0
1774391051006,-0.0123464,0.979284,0.126529,2.05161e-11,-1.0450800000000002e-10,5.899339999999999e-11,0,0,3.23523,5,1.088,2,2.0
1774391051019,-0.0122868,0.979507,0.126868,1.90654e-11,-1.0498300000000001e-10,5.928120000000001e-11,0,0,3.30181,5,1.101,2,2.0
1774391051033,-0.0122513,0.979485,0.126936,1.7439100000000004e-11,-1.03805e-10,5.89104e-11,0,0,3.25962,5,1.115,2,2.0
1774391051046,-0.0124097,0.979485,0.126905,1.74457e-11,-1.04191e-10,5.7789600000000003e-11,0,0,3.24259,5,1.128,2,2.0
1774391051059,-0.0124222,0.979624,0.127313,1.78802e-11,-1.03699e-10,5.763090000000001e-11,0,0,3.27568,5,1.141,2,2.0
1774391051073,-0.0121242,0.979779,0.127148,1.76052e-11,-1.0242099999999999e-10,5.7224300000000004e-11,0,0,3.2494,5,1.155,2,2.0
1774391051086,-0.0122026,0.979606,0.127107,1.73884e-11,-1.0095700000000003e-10,5.61124e-11,0,0,3.28914,5,1.168,2,2.0
1774391051100,-0.0121174,0.979494,0.126865,1.6412900000000002e-11,-1.00133e-10,5.514860000000001e-11,0,0,3.2421,5,1.182,2,2.0
1774391051113,-0.0121854,0.979633,0.126997,1.51925e-11,-1.0004e-10,5.428170000000001e-11,0,0,3.26477,5,1.195,2,2.0
1774391051126,-0.0123893,0.979595,0.127113,1.64813e-11,-9.965210000000001e-11,5.5219099999999995e-11,0,0,3.25373,5,1.208,2,2.0
1774391051140,-0.012157,0.979676,0.126636,1.6327599999999998e-11,-9.911500000000001e-11,5.57185e-11,0,0,3.25721,5,1.222,2,2.0
1774391051153,-0.0122981,0.979881,0.126436,1.7038900000000005e-11,-9.800840000000001e-11,5.6661e-11,0,0,3.35855,5,1.235,2,2.0
1774391051166,-0.0125398,0.979832,0.126576,1.85666e-11,-9.696399999999998e-11,5.7379200000000003e-11,0,0,3.24738,5,1.248,2,2.0
1774391051180,-0.0125038,0.979882,0.127031,1.9452100000000002e-11,-9.627790000000003e-11,5.8100000000000005e-11,0,0,3.26775,5,1.262,2,2.0
1774391051193,-0.012587,0.979811,0.126995,1.98168e-11,-9.67436e-11,5.852349999999999e-11,0,0,3.23805,5,1.275,2,2.0
1774391051206,-0.0126024,0.979658,0.126833,1.97329e-11,-9.74401e-11,5.84522e-11,0,0,3.27749,5,1.288,2,2.0
1774391051220,-0.012756,0.979715,0.126999,2.0296e-11,-9.831170000000002e-11,5.847050000000001e-11,0,0,3.25725,5,1.302,2,2.0
1774391051233,-0.0131485,0.979727,0.12705,2.031360000000001e-11,-9.656510000000001e-11,5.90016e-11,0,0,3.26845,5,1.315,2,2.0
1774391051247,-0.0132782,0.979674,0.12711,1.97736e-11,-9.628679999999999e-11,5.826120000000001e-11,0,0,3.26884,5,1.329,2,2.0
1774391051260,-0.0130284,0.979698,0.127423,2.1062300000000006e-11,-9.585280000000001e-11,5.93178e-11,0,0,3.27149,5,1.342,2,2.0
1774391051273,-0.0128644,0.979668,0.127584,2.1293900000000004e-11,-9.642800000000002e-11,5.92876e-11,0,0,3.28907,5,1.355,2,2.0
1774391051287,-0.012921,0.979831,0.127503,2.1127100000000002e-11,-9.607170000000001e-11,5.94731e-11,0,0,3.23668,5,1.369,2,2.0
1774391051300,-0.0128791,0.979997,0.127469,2.1911700000000004e-11,-9.65489e-11,5.96911e-11,0,0,3.32396,5,1.382,2,2.0
1774391051313,-0.0130313,0.979804,0.12719,2.25239e-11,-9.721350000000001e-11,5.98968e-11,0,0,3.24436,5,1.395,2,2.0
1774391051328,-0.0132301,0.979972,0.127147,2.2116800000000004e-11,-9.74555e-11,6.021950000000002e-11,0,0,4.01483,5,1.41,2,2.0
1774391051341,-0.0132922,0.979813,0.126979,2.1518499999999997e-11,-9.892560000000001e-11,6.125200000000001e-11,0,0,3.26738,5,1.423,2,2.0
1774391051354,-0.0128923,0.979713,0.12686,2.0525600000000002e-11,-9.98851e-11,6.325420000000002e-11,0,0,3.37705,5,1.436,2,2.0
1774391051368,-0.013172,0.980066,0.126031,1.92886e-11,-1.0083400000000002e-10,6.206110000000002e-11,0,0,3.2717,5,1.45,2,2.0
1774391051381,-0.0133434,0.979849,0.125869,1.8592e-11,-1.0305600000000002e-10,6.534530000000001e-11,0,0,3.23133,5,1.463,2,2.0
1774391051395,-0.0128345,0.979898,0.126322,1.6649900000000002e-11,-1.0421200000000001e-10,6.63044e-11,0,0,3.28547,5,1.477,2,2.0
1774391051408,-0.0124547,0.980115,0.126072,1.61442e-11,-1.0389e-10,7.136300000000001e-11,0,0,3.24505,5,1.49,2,2.0
1774391051422,-0.0121129,0.980024,0.125288,1.47248e-11,-1.0384299999999999e-10,7.125660000000001e-11,0,0,3.82629,5,1.504,2,2.0
1774391051436,-0.0120956,0.979755,0.126408,1.0302e-11,-1.0482700000000003e-10,7.9463e-11,0,0,3.28744,5,1.518,2,2.0
1774391051449,-0.0115026,0.980042,0.12641,1.1993600000000001e-11,-1.0507000000000002e-10,7.808870000000001e-11,0,0,3.3041,5,1.531,2,2.0
1774391051463,-0.012174,0.979858,0.126573,1.20916e-11,-1.0285800000000002e-10,8.05595e-11,0,0,3.31407,5,1.545,2,2.0
1774391051476,-0.0120046,0.979789,0.126365,9.35802e-12,-1.0325500000000002e-10,8.147870000000001e-11,0,0,3.27705,5,1.558,2,2.0
1774391051490,-0.0119921,0.979647,0.126508,4.5084100000000006e-12,-1.01616e-10,8.290290000000001e-11,0,0,3.28325,5,1.572,2,2.0
1774391051503,-0.0118414,0.979683,0.126613,5.731080000000001e-13,-1.0418000000000001e-10,8.060770000000001e-11,0,0,3.30623,5,1.585,2,2.0
1774391051516,-0.0111526,0.980284,0.126756,-9.576950000000002e-13,-1.0189100000000002e-10,8.216650000000001e-11,0,0,3.3047,5,1.598,2,2.0
1774391051530,-0.0115084,0.980399,0.126925,-1.1608900000000001e-12,-9.99863e-11,7.858520000000002e-11,0,0,3.26597,5,1.612,2,2.0
1774391051543,-0.0116244,0.980338,0.127332,-9.24496e-13,-9.921630000000003e-11,7.78596e-11,0,0,3.30484,5,1.625,2,2.0
1774391051557,-0.0115538,0.980482,0.127454,1.5501100000000003e-13,-9.8618e-11,7.648960000000001e-11,0,0,3.39429,5,1.639,2,2.0
1774391051570,-0.0113795,0.980674,0.127133,8.742330000000001e-13,-9.890960000000001e-11,7.618120000000001e-11,0,0,3.24723,5,1.652,2,2.0
1774391051584,-0.0112662,0.98059,0.127019,1.5959300000000002e-12,-9.815720000000003e-11,7.559040000000002e-11,0,0,3.26818,5,1.666,2,2.0
1774391051597,-0.0114675,0.98051,0.127475,2.5340600000000002e-12,-9.753260000000001e-11,7.42192e-11,0,0,3.25607,5,1.679,2,2.0
1774391051610,-0.0114998,0.980583,0.127591,2.5631899999999993e-12,-9.685750000000002e-11,7.32247e-11,0,0,3.28755,5,1.692,2,2.0
1774391051624,-0.0114987,0.980557,0.127958,3.0617000000000006e-12,-9.643429999999998e-11,7.20718e-11,0,0,3.25909,5,1.706,2,2.0
1774391051637,-0.0116365,0.980563,0.127636,3.4466000000000007e-12,-9.74479e-11,6.999880000000001e-11,0,0,3.29123,5,1.719,2,2.0
1774391051651,-0.0113731,0.980442,0.127948,4.32374e-12,-9.806200000000001e-11,6.765670000000002e-11,0,0,3.27803,5,1.733,2,2.0
1774391051664,-0.0112815,0.980315,0.127691,5.1945e-12,-9.97122e-11,6.50177e-11,0,0,3.27414,5,1.746,2,2.0
1774391051678,-0.0112899,0.980418,0.127605,4.98876e-12,-9.99424e-11,6.274090000000001e-11,0,0,3.26881,5,1.76,2,2.0
1774391051691,-0.0111592,0.980324,0.127662,4.8802e-12,-1.0016e-10,6.217610000000001e-11,0,0,3.27436,5,1.773,2,2.0
1774391051704,-0.011141,0.980458,0.127172,5.93384e-12,-1.0126400000000002e-10,6.24566e-11,0,0,3.28901,5,1.786,2,2.0
1774391051718,-0.0110915,0.980651,0.127568,9.19776e-12,-1.0067900000000003e-10,6.37917e-11,0,0,3.24857,5,1.8,2,2.0
1774391051731,-0.0115353,0.980718,0.127798,1.1422200000000001e-11,-9.875720000000002e-11,6.51376e-11,0,0,3.2677,5,1.813,2,2.0
1774391051745,-0.0119598,0.980664,0.127515,1.2579900000000004e-11,-9.934079999999999e-11,6.49522e-11,0,0,3.27655,5,1.827,2,2.0
1774391051758,-0.0115221,0.980549,0.127736,1.2687799999999999e-11,-1.0036299999999999e-10,6.7175e-11,0,0,3.38483,5,1.84,2,2.0
1774391051771,-0.0106766,0.980268,0.127915,1.2704100000000002e-11,-1.0034200000000002e-10,6.82027e-11,0,0,3.27868,5,1.853,2,2.0
1774391051785,-0.0109143,0.979967,0.128322,1.28906e-11,-9.826770000000002e-11,6.874460000000002e-11,0,0,3.2857,5,1.867,2,2.0
1774391051798,-0.0110136,0.979626,0.12791,8.271079999999999e-12,-1.0020600000000001e-10,6.955580000000001e-11,0,0,3.26075,5,1.88,2,2.0
1774391051812,-0.0106921,0.979641,0.128135,2.7545400000000005e-12,-1.0306300000000002e-10,7.22055e-11,0,0,3.2772,5,1.894,2,2.0
1774391051825,-0.00942371,0.979186,0.128403,-4.721960000000001e-12,-1.0862900000000001e-10,7.70616e-11,0,0,3.2919,5,1.907,2,2.0
