timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase
1774299883936,-0.0389187,1.00977,0.0542982,0.183815,0.0265203,-0.048856500000000004,3.27045,1,9.44,3
1774299883950,-0.0379747,1.01181,0.050952,0.18306999999999998,0.0277688,-0.0450884,3.23769,1,9.454,3
1774299883963,-0.0379689,1.01287,0.0488412,0.185249,0.0303218,-0.0409493,3.25324,1,9.467,3
1774299883976,-0.0382303,1.01507,0.0465344,0.188842,0.033134000000000004,-0.0373421,3.25434,1,9.48,3
1774299883990,-0.0379143,1.01447,0.0460688,0.19470900000000002,0.035219,-0.034845,3.25608,1,9.494,3
1774299884003,-0.0371638,1.01373,0.0457838,0.20172,0.0365877,-0.0325008,3.24726,1,9.507,3
1774299884016,-0.0369265,1.01746,0.0424042,0.210465,0.03892,-0.028661,3.2343,1,9.52,3
1774299884030,-0.0359416,1.01909,0.0388415,0.21943100000000001,0.040457799999999995,-0.0264325,3.24163,1,9.534,3
1774299884043,-0.0366332,1.02642,0.0325731,0.230716,0.0427229,-0.024954100000000003,3.23685,1,9.547,3
1774299884056,-0.0354476,1.02325,0.036391,0.239698,0.045451899999999996,-0.024650500000000002,3.24293,1,9.56,3
1774299884070,-0.0374314,1.02476,0.0372659,0.253023,0.05007450000000001,-0.021627800000000003,3.24856,1,9.574,3
1774299884083,-0.0356129,1.02512,0.0419889,0.268298,0.055491200000000004,-0.0210142,3.25502,1,9.587,3
1774299884096,-0.0393726,1.03956,0.0340241,0.289708,0.060201500000000005,-0.0190476,3.23895,1,9.6,3
1774299884110,-0.0465873,1.05156,0.0344046,0.30528900000000003,0.0631832,-0.0180262,3.23698,1,9.614,3
1774299884123,-0.0546929,1.05222,0.0374376,0.325473,0.0687638,-0.022067700000000003,3.24028,1,9.627,3
1774299884136,-0.0603728,1.06016,0.039612,0.348129,0.0771999,-0.0308195,3.2345,1,9.64,3
1774299884150,-0.0613841,1.0739,0.039919,0.37561700000000003,0.08491440000000001,-0.0376073,3.24074,3,9.654,3
1774299884163,-0.0604292,1.09059,0.043138,0.40858,0.0897941,-0.0375446,3.28271,3,9.667,3
1774299884176,-0.0553522,1.09655,0.036575,0.44632800000000006,0.0941304,-0.0348135,3.32164,3,9.68,3
1774299884190,-0.0564015,1.10762,0.0352104,0.468842,0.0986173,-0.031507600000000004,3.29064,3,9.694,4
1774299884203,-0.0535612,1.12292,0.0258764,0.499852,0.104377,-0.022786499999999998,3.28304,3,9.707,4
1774299884217,-0.0483681,1.12648,0.0289087,0.52619,0.10537300000000001,-0.0179759,3.29358,3,9.721,4
1774299884230,-0.040797,1.1368,0.0239182,0.562358,0.109889,-0.0189372,3.28751,3,9.734,4
1774299884243,-0.0290513,1.14561,0.0181424,0.597714,0.106174,-0.022182499999999997,3.32869,3,9.747,4
1774299884257,-0.017595,1.15215,0.0169539,0.63977,0.0976965,-0.0184762,3.32756,3,9.761,4
1774299884270,-0.00818794,1.15591,0.0121232,0.684075,0.0801117,-0.012764,3.2988,3,9.774,4
1774299884284,-0.00942072,1.16269,0.00526166,0.733499,0.0609098,-0.00696548,3.29454,3,9.788,4
1774299884297,-0.0164932,1.16207,-0.00730025,0.776309,0.0438684,-0.0007856860000000001,3.27141,3,9.801,4
1774299884310,-0.0284027,1.15476,-0.0105684,0.81176,0.0331137,0.00039736100000000005,3.28213,3,9.814,4
1774299884324,-0.0469021,1.13519,-0.00456494,0.8331780000000001,0.033422900000000005,-0.00686984,3.27176,3,9.828,4
1774299884337,-0.0719062,1.10283,0.0166361,0.832499,0.049031000000000005,-0.017304800000000002,3.28165,2,9.841,4
1774299884350,-0.0867415,1.07099,0.0383728,0.808102,0.07166789999999999,-0.040231199999999995,3.27015,2,9.854,5
1774299884365,-0.0915536,1.04278,0.0618387,0.762675,0.0982246,-0.073681,4.11142,2,9.869,5
1774299884378,-0.0986751,1.02419,0.0862963,0.711588,0.131629,-0.0983179,3.30082,2,9.882,5
1774299884391,-0.106104,1.0044,0.108478,0.656447,0.169564,-0.111189,3.27426,2,9.895,5
1774299884405,-0.109301,0.980352,0.127746,0.5952700000000001,0.21127300000000002,-0.123484,3.29486,2,9.909,5
1774299884418,-0.109646,0.955704,0.145232,0.523382,0.25555700000000003,-0.140421,3.26989,2,9.922,5
1774299884432,-0.105256,0.933308,0.161153,0.442376,0.298355,-0.151534,3.27671,5,9.936,5
1774299884445,-0.0975998,0.916622,0.174552,0.35869100000000004,0.333636,-0.15682600000000002,3.28184,5,9.949,5
1774299884459,-0.0876193,0.900954,0.184674,0.27081900000000003,0.358468,-0.161817,4.09265,2,9.963,5
1774299884472,-0.0797623,0.889964,0.192922,0.179839,0.373746,-0.160409,3.27223,5,9.976,5
1774299884486,-0.0742348,0.884484,0.19923,0.08728709999999999,0.381081,-0.148697,3.29947,5,9.99,5
1774299884499,-0.0689811,0.883834,0.202561,-0.005361540000000001,0.379778,-0.132434,3.32695,5,10.003,5
1774299884513,-0.0642774,0.885316,0.203632,-0.0972707,0.370747,-0.113248,3.41038,5,10.017,5
1774299884528,-0.0597154,0.888677,0.202809,-0.189334,0.35273000000000004,-0.08812810000000001,5.14628,5,10.032,5
