timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300228072,-0.0440288,0.644725,-0.800304,0.686758,-0.0134654,0.101189,0,0,3.32076,5,39.299,5
1774300228085,-0.046278,0.629823,-0.815518,0.675897,-0.0171546,0.12291700000000001,0,0,3.30539,5,39.312,5
1774300228099,-0.0490694,0.612454,-0.830665,0.658328,-0.0202131,0.152529,0,0,3.28649,5,39.326,5
1774300228112,-0.0552194,0.599048,-0.844765,0.63589,-0.021100300000000002,0.186908,0,0,3.2751,5,39.339,5
1774300228125,-0.0648481,0.59257,-0.853785,0.6142920000000001,-0.0187906,0.22002600000000003,0,0,3.2813,5,39.352,5
1774300228139,-0.0740877,0.58928,-0.856143,0.596114,-0.0128339,0.24724900000000002,0,0,3.27356,5,39.366,5
1774300228152,-0.0849945,0.589497,-0.857139,0.579976,-0.00227854,0.265618,0,0,3.28725,5,39.379,5
1774300228165,-0.0903528,0.593697,-0.856254,0.570407,0.00916623,0.278538,0,0,3.27143,5,39.392,5
1774300228179,-0.0888251,0.575613,-0.842757,0.561636,0.0180336,0.285214,0,0,3.30604,5,39.406,5
1774300228192,-0.0828479,0.531382,-0.827596,0.523389,0.020421900000000003,0.283222,0,0,3.27223,5,39.419,5
1774300228205,-0.0824492,0.500402,-0.817412,0.450651,0.0166944,0.26506599999999997,0,0,3.27504,5,39.432,5
1774300228219,-0.0803916,0.458937,-0.790633,0.33679000000000003,0.00813198,0.231297,0,0,3.28091,5,39.446,5
1774300228232,-0.0822784,0.441909,-0.753793,0.194213,7.981419999999999e-05,0.18453499999999998,0,0,3.26584,5,39.459,5
1774300228246,-0.0840933,0.446916,-0.715127,0.0430149,-0.00378262,0.131571,0,0,3.29484,5,39.473,5
1774300228259,-0.0910286,0.462381,-0.671392,-0.0997017,0.00149072,0.0841855,0,0,3.28627,5,39.486,5
1774300228273,-0.104665,0.481921,-0.627361,-0.23441299999999998,0.021026600000000003,0.06030630000000001,0,0,3.7108,5,39.5,5
1774300228286,-0.128285,0.498492,-0.584059,-0.361568,0.0577117,0.0599679,0,0,3.28732,5,39.513,5
1774300228300,-0.146559,0.509192,-0.539693,-0.48159100000000005,0.109843,0.056056100000000005,0,0,3.28726,5,39.527,5
1774300228313,-0.14647,0.515826,-0.496349,-0.594881,0.173755,0.024621499999999998,0,0,3.28301,5,39.54,5
1774300228326,-0.138442,0.533263,-0.453705,-0.701816,0.236873,-0.035288400000000004,0,0,3.28364,5,39.553,5
1774300228340,-0.131886,0.588449,-0.418638,-0.8027540000000001,0.302946,-0.0880954,0,0,3.29586,5,39.567,5
1774300228353,-0.130581,0.664178,-0.398974,-0.897053,0.372931,-0.105176,0,0,3.29238,5,39.58,5
1774300228366,-0.128404,0.71744,-0.388231,-0.952685,0.44137000000000004,-0.107643,0,0,3.28365,5,39.593,5
1774300228380,-0.116917,0.741018,-0.38193,-0.999742,0.499077,-0.120963,0,0,3.30519,5,39.607,5
1774300228393,-0.0942293,0.775566,-0.382652,-1.04057,0.541292,-0.131815,0,0,3.30599,5,39.62,5
1774300228407,-0.0709007,0.820519,-0.385947,-1.06817,0.566783,-0.126866,0,0,3.2796,5,39.634,5
1774300228420,-0.0376592,0.852551,-0.395622,-1.0841800000000001,0.568453,-0.110073,0,0,3.28125,5,39.647,5
