timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240188340,-0.00115047,1.09192,-0.170606,0.158225,0.00985837,0.0746191,3.73747,5
1777240188356,0.000584784,1.10865,-0.167062,0.199868,0.0104187,0.0928491,5.03503,5
1777240188370,0.00500267,1.1233,-0.164771,0.249686,0.0102025,0.108314,4.33519,5
1777240188385,0.0140206,1.13371,-0.161431,0.306597,0.00745504,0.120847,4.96873,5
1777240188399,0.0214371,1.14227,-0.158785,0.368271,0.00416802,0.129573,4.12034,5
1777240188413,0.0281637,1.15621,-0.157862,0.434163,-0.00181204,0.136178,3.4431,5
1777240188427,0.0339379,1.17196,-0.157649,0.504332,-0.00919938,0.141951,3.42973,5
1777240188440,0.0414286,1.18494,-0.156625,0.578405,-0.0181934,0.146954,3.43403,5
1777240188454,0.0516899,1.20197,-0.156029,0.657452,-0.0295389,0.149946,3.36946,5
1777240188468,0.0615401,1.22236,-0.153864,0.742393,-0.0433224,0.15257,4.64218,5
1777240188482,0.0645519,1.25584,-0.150602,0.835017,-0.0594071,0.158429,3.37062,4
1777240188497,0.0670114,1.29857,-0.15667,0.928482,-0.0782292,0.174244,4.62625,4
1777240188511,0.0659092,1.35944,-0.175997,1.01671,-0.0930025,0.187824,3.39551,4
1777240188525,0.049271,1.38583,-0.179285,1.09998,-0.100062,0.16959,4.21218,4
1777240188539,0.0557921,1.36474,-0.170338,1.17858,-0.10819,0.188234,3.46377,4
1777240188552,0.0616735,1.3997,-0.165782,1.25278,-0.116033,0.225115,3.39484,4
1777240188566,0.0790296,1.39792,-0.15918,1.32281,-0.13662,0.282123,3.45294,4
1777240188579,0.0967817,1.4086,-0.148649,1.38891,-0.167874,0.340906,3.41807,4
1777240188593,0.130971,1.43019,-0.128794,1.45131,-0.21765,0.389951,3.48501,4
1777240188606,0.147439,1.33508,-0.165474,1.51021,-0.278255,0.396102,3.40971,4
1777240188620,0.13176,1.22627,-0.197933,1.5658,-0.329393,0.37635,3.4279,4
1777240188633,0.104608,1.11696,-0.234336,1.5974,-0.358265,0.322068,3.42907,4
1777240188647,0.0726938,1.01806,-0.266753,1.5779,-0.358328,0.242661,3.34916,4
1777240188660,0.0489647,0.937428,-0.2916,1.51848,-0.335801,0.152519,3.4512,4
1777240188674,0.0384945,0.877533,-0.307576,1.43194,-0.300822,0.058905,3.36351,4
1777240188687,0.0380882,0.836951,-0.316302,1.33243,-0.263845,-0.0297752,3.46677,4
1777240188701,0.0449079,0.806123,-0.320827,1.22867,-0.232213,-0.104733,3.38997,4
1777240188714,0.0542072,0.7769,-0.320401,1.12588,-0.205315,-0.159789,3.5547,4
1777240188728,0.0625056,0.749345,-0.319109,1.02424,-0.185731,-0.197066,3.40535,4
1777240188742,0.0727076,0.717994,-0.312589,0.922856,-0.17253,-0.223941,3.90979,4
1777240188755,0.083611,0.682239,-0.302163,0.820179,-0.165233,-0.246487,3.44805,4
1777240188769,0.0926702,0.636014,-0.291938,0.712112,-0.162297,-0.267558,3.34555,4
1777240188782,0.0969487,0.582864,-0.281478,0.589824,-0.162717,-0.28594,3.44744,4
1777240188796,0.0999738,0.519878,-0.26836,0.444614,-0.164431,-0.300131,3.39644,4
1777240188810,0.0978581,0.447073,-0.249828,0.279366,-0.165827,-0.310451,3.4792,4
1777240188823,0.093711,0.383322,-0.218533,0.123388,-0.165307,-0.315055,3.42131,4
1777240188837,0.0888517,0.36671,-0.178913,-0.0238412,-0.16256,-0.312909,3.73368,4
1777240188851,0.0870312,0.380869,-0.138394,-0.162812,-0.158289,-0.302024,3.45138,4
1777240188864,0.0873122,0.413461,-0.10735,-0.293988,-0.154921,-0.283639,3.35212,4
1777240188878,0.0932881,0.448402,-0.087374,-0.417805,-0.152787,-0.268603,3.46805,4
1777240188891,0.095779,0.474358,-0.0743522,-0.534678,-0.152626,-0.257647,3.39786,4
1777240188905,0.0946244,0.501158,-0.063937,-0.644994,-0.150856,-0.248282,3.46773,4
1777240188918,0.0916858,0.533344,-0.0542429,-0.749123,-0.145691,-0.238547,3.41446,4
1777240188932,0.0950883,0.574652,-0.0411896,-0.847411,-0.139108,-0.227132,3.84962,4
1777240188946,0.101765,0.642182,-0.0324976,-0.940186,-0.134563,-0.208422,3.44757,4
1777240188960,0.10326,0.704254,-0.0284699,-1.02776,-0.128779,-0.1861,3.88694,4
1777240188973,0.0925923,0.766391,-0.0272701,-1.11042,-0.11357,-0.170197,3.44984,4
1777240188987,0.0750736,0.836477,-0.0287122,-1.18844,-0.0835252,-0.164024,3.35068,4
1777240189000,0.0641112,0.927213,-0.0371396,-1.26208,-0.0462979,-0.157843,3.47264,4
1777240189014,0.0703887,1.0299,-0.0587752,-1.3316,-0.00885088,-0.139839,3.38942,4
1777240189027,0.086092,1.12683,-0.0932613,-1.39721,0.022171,-0.112435,3.4821,4
1777240189041,0.106132,1.21792,-0.143027,-1.45915,0.04655,-0.0878919,3.43436,4
