timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,arquivo_id,arquivo_nome,Fase,tem_rotulo_real,tempo_s,pitch_k,acc_norm,gyro_norm,d_ax,dd_ax,d_ay,dd_ay,d_az,dd_az,d_gx,dd_gx,d_gy,dd_gy,d_gz,dd_gz,d_roll,dd_roll,d_pitch_k,dd_pitch_k,d_acc_norm,dd_acc_norm,d_gyro_norm,dd_gyro_norm,jerk_acc,jerk_gyro,classe_prevista,classe_prevista_nome,confianca_prevista
1777251000986,0.0280057,1.00932,-0.121254,0.0380214,0.00554407,-0.00352629,96.73825502006973,0,3.41586,999,log_newX9.csv,0,False,6.314,-1.6015312071804566,1.0169629856334448,0.03858494902535184,-0.0002568999999999974,-0.00030379999999999643,-7.00000000000145e-05,0.0007399999999999629,-3.400000000000625e-05,0.0008289999999999825,0.00027630000000000016,-0.0002477999999999994,-5.727999999999983e-05,-6.463999999999949e-05,-0.0010107100000000002,0.00011903999999999973,0.04149694211299959,-0.014481955689547021,0.008694314542241344,0.002099303397579133,-7.252754137065942e-05,0.0006276681864199052,0.00034366454680823805,-0.00023309962536480905,-7.252754137065942e-05,0.00034366454680823805,2,Foot-flat,0.8807264530756856
1777251001000,0.027366,1.00897,-0.122573,0.0380639,0.00526734,-0.00451029,96.7891210408453,0,3.88503,999,log_newX9.csv,0,False,6.328,-1.585530149381449,1.016756361762738,0.03869041315067209,-0.0006397,-0.0003828000000000026,-0.0003500000000000725,-0.000280000000000058,-0.0013190000000000007,-0.0012849999999999945,4.250000000000087e-05,-0.00023379999999999929,-0.0002767300000000002,-0.00021945000000000037,-0.000984,2.6710000000000102e-05,0.05086602077557245,0.00936907866257286,0.016001057799007512,0.007306743256766168,-0.00020662387070680133,-0.0001340963293361419,0.00010546412532025373,-0.00023820042148798432,-0.00020662387070680133,0.00010546412532025373,2,Foot-flat,0.8807264530756856
1777251001013,0.0269265,1.00922,-0.123449,0.0381554,0.00497617,-0.00509226,96.83902513183025,0,3.48373,999,log_newX9.csv,0,False,6.341,-1.5670206591350295,1.0170986679783087,0.0388140171708173,-0.0004395000000000024,0.0002001999999999976,0.0002500000000000835,0.000600000000000156,-0.0008760000000000018,0.00044299999999999895,9.15000000000013e-05,4.900000000000043e-05,-0.00029116999999999945,-1.4439999999999245e-05,-0.0005819700000000002,0.00040202999999999984,0.04990409098495263,-0.0009619297906198199,0.01850949024641957,0.0025084324474120567,0.00034230621557074237,0.0005489300862775437,0.00012360402014520433,1.8139894824950598e-05,0.00034230621557074237,0.00012360402014520433,2,Foot-flat,0.8807264530756856
1777251001029,0.0257311,1.00946,-0.124618,0.0380062,0.00469276,-0.00486229,96.89266236192724,0,3.42749,999,log_newX9.csv,0,False,6.357,-1.5351785743789421,1.0174483903526557,0.03860226805385533,-0.0011953999999999992,-0.0007558999999999969,0.00024000000000001798,-1.0000000000065512e-05,-0.0011690000000000034,-0.0002930000000000016,-0.0001492000000000021,-0.0002407000000000034,-0.00028341000000000043,7.759999999999018e-06,0.00022997000000000035,0.0008119400000000006,0.053637230096981625,0.0037331391120289936,0.03184208475608741,0.013332594509667839,0.0003497223743469391,7.416158776196724e-06,-0.00021174911696196508,-0.0003353531371071694,0.0003497223743469391,-0.00021174911696196508,2,Foot-flat,0.8807264530756856
1777251001042,0.0247534,1.00922,-0.125584,0.0377198,0.00436958,-0.00399865,96.94684847189455,0,3.41234,999,log_newX9.csv,0,False,6.37,-1.4971133074257077,1.0173048118767354,0.038182008109041356,-0.0009777000000000015,0.00021769999999999776,-0.00024000000000001798,-0.00048000000000003595,-0.0009659999999999946,0.00020300000000000873,-0.00028639999999999916,-0.00013719999999999705,-0.00032318000000000017,-3.9769999999999736e-05,0.0008636399999999997,0.0006336699999999994,0.05418610996731843,0.0005488798703368047,0.03806526695323442,0.006223182197147015,-0.00014357847592028072,-0.0004933008502672198,-0.00042025994481397627,-0.0002085108278520112,-0.00014357847592028072,-0.00042025994481397627,2,Foot-flat,0.6911221708160922
1777251001056,0.0238442,1.00955,-0.126524,0.0371198,0.00425294,-0.00223717,96.99996705004108,0,3.31057,999,log_newX9.csv,0,False,6.384,-1.4553432062386278,1.017726913739457,0.03742956024711618,-0.0009091999999999989,6.850000000000259e-05,0.00032999999999994145,0.0005699999999999594,-0.0009399999999999964,2.5999999999998247e-05,-0.0005999999999999964,-0.0003135999999999972,-0.00011663999999999945,0.00020654000000000072,0.0017614800000000002,0.0008978400000000004,0.05311857814652399,-0.0010675318207944429,0.04177010118707991,0.0037048342338454887,0.0004221018627215134,0.0005656803386417941,-0.0007524478619251734,-0.00033218791711119716,0.0004221018627215134,-0.0007524478619251734,2,Foot-flat,0.6911221708160922
1777251001071,0.0234517,1.01007,-0.127452,0.0365749,0.00418566,0.000328981,97.05175189842369,0,3.46268,999,log_newX9.csv,0,False,6.399,-1.4186682655010534,1.0183493503886032,0.036815095927404035,-0.0003925000000000005,0.0005166999999999984,0.000520000000000076,0.0001900000000001345,-0.0009280000000000121,1.1999999999984245e-05,-0.0005449000000000009,5.509999999999543e-05,-6.728000000000029e-05,4.935999999999916e-05,0.002566151,0.0008046709999999999,0.051784848382609994,-0.0013337297639139933,0.03667494073757438,-0.005095160449505531,0.0006224366491462963,0.00020033478642478286,-0.0006144643197121477,0.00013798354221302572,0.0006224366491462963,-0.0006144643197121477,2,Foot-flat,0.6911221708160922
1777251001084,0.0232865,1.01028,-0.128355,0.0359749,0.00383098,0.00350908,97.1027640119398,0,3.37694,999,log_newX9.csv,0,False,6.412,-1.3892791177671773,1.0186672398321497,0.03634808771059077,-0.0001651999999999973,0.0002273000000000032,0.00021000000000004349,-0.00031000000000003247,-0.0009029999999999871,2.5000000000025002e-05,-0.0006000000000000033,-5.510000000000237e-05,-0.00035468,-0.0002873999999999997,0.003180099,0.000613948,0.05101211351610857,-0.0007727348665014233,0.02938914773387613,-0.007285793003698249,0.00031788944354649296,-0.0003045472055998033,-0.00046700821681326665,0.00014745610289888106,0.00031788944354649296,-0.00046700821681326665,2,Foot-flat,0.6911221708160922
1777251001098,0.0233361,1.01042,-0.129659,0.0353014,0.00362037,0.00696468,97.15938253288803,0,3.43479,999,log_newX9.csv,0,False,6.426,-1.3684773114321953,1.018972328497791,0.03616355469805616,4.959999999999687e-05,0.00021479999999999416,0.000140000000000029,-7.00000000000145e-05,-0.0013039999999999996,-0.00040100000000001246,-0.0006735000000000005,-7.349999999999718e-05,-0.00021060999999999996,0.00014407000000000005,0.0034556,0.00027550100000000004,0.05661852094823416,0.005606407432125593,0.020801806334981965,-0.008587341398894166,0.00030508866564127324,-1.2800777905219718e-05,-0.0001845330125346059,0.00028247520427866074,0.00030508866564127324,-0.0001845330125346059,2,Foot-flat,0.6911221708160922
1777251001111,0.0240402,1.01133,-0.130357,0.0351368,0.00319036,0.010295,97.20945637456659,0,3.41308,999,log_newX9.csv,0,False,6.439,-1.3636329548915538,1.019980023120571,0.0367526888291129,0.0007041000000000026,0.0006545000000000058,0.0009099999999999664,0.0007699999999999374,-0.0006980000000000042,0.0006059999999999954,-0.00016459999999999392,0.0005089000000000066,-0.00043000999999999977,-0.0002193999999999998,0.0033303200000000003,-0.00012527999999999975,0.05007384167855378,-0.006544679269680387,0.004844356540641526,-0.01595744979434044,0.0010076946227799422,0.0007026059571386689,0.00058913413105674,0.0007736671435913459,0.0010076946227799422,0.00058913413105674,2,Foot-flat,0.5027103339849428
1777251001125,0.0270465,1.01555,-0.130864,0.0358421,0.00254896,0.014055,97.24544856886709,0,3.39534,999,log_newX9.csv,0,False,6.453,-1.404000809707336,1.0243040086606368,0.03858362806284033,0.0030063,0.0023021999999999973,0.0042199999999998905,0.003309999999999924,-0.0005070000000000074,0.00019099999999999673,0.000705299999999999,0.0008698999999999929,-0.0006414000000000003,-0.00021139000000000054,0.0037599999999999995,0.0004296799999999991,0.03599219430050482,-0.014081647378048956,-0.0403678548157822,-0.045212211356423726,0.0043239855400658556,0.0033162909172859134,0.00183093923372743,0.00124180510267069,0.0043239855400658556,0.00183093923372743,2,Foot-flat,0.5027103339849428
1777251001139,0.0282135,1.01836,-0.130727,0.0370858,0.00208056,0.0162939,97.26425454561483,0,3.4534,999,log_newX9.csv,0,False,6.467,-1.4499419099694864,1.0271040062774799,0.040560775002009025,0.001166999999999998,-0.001839300000000002,0.002809999999999979,-0.0014099999999999113,0.00013699999999999823,0.0006440000000000057,0.0012437000000000004,0.0005384000000000014,-0.0004683999999999999,0.0001730000000000004,0.0022389000000000003,-0.0015210999999999992,0.018805976747742648,-0.017186217552762173,-0.04594110026215037,-0.005573245446368169,0.0027999976168431306,-0.001523987923222725,0.0019771469391686933,0.00014620770544126332,0.0027999976168431306,0.0019771469391686933,2,Foot-flat,0.5027103339849428
