Starting real-time gait reader (100Hz) WITH KALMAN.
Press any key to stop.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.186035 ay:0.946045 az:-0.482666 gx:0.29771 gy:-0.671756 gz:0.656489 | Class: -1 | Delay: 3.27458 ms
 R_K:91.8987 P_K:-7.79943 | Dly: 3.26947msax:0.180664 ay:0.919922 az:-0.481201 gx:0.0992366 gy:-0.755725 gz:0.687023 | Class: 1 | Delay: 3.27056 ms
 R_K:93.265 P_K:-7.91575 | Dly: 3.27056msax:0.172607 ay:0.925781 az:-0.483887 gx:0.137405 gy:-0.908397 gz:0.587786 | Class: 1 | Delay: 3.26991 ms
 R_K:94.6051 P_K:-8.01722 | Dly: 3.26991msax:0.17627 ay:0.927246 az:-0.474609 gx:0.229008 gy:-0.778626 gz:0.610687 | Class: 1 | Delay: 3.27323 ms
 R_K:95.9052 P_K:-8.12142 | Dly: 3.27323msax:0.172363 ay:0.928223 az:-0.482178 gx:0.0992366 gy:-1.01527 gz:0.679389 | Class: 1 | Delay: 3.27075 ms
 R_K:97.1873 P_K:-8.21897 | Dly: 3.27075msax:0.17627 ay:0.927734 az:-0.477783 gx:0.0687023 gy:-0.938931 gz:0.526718 | Class: 1 | Delay: 3.26954 ms
 R_K:98.4357 P_K:-8.32022 | Dly: 3.26954msax:0.180176 ay:0.925293 az:-0.479248 gx:0.10687 gy:-0.900763 gz:0.549618 | Class: 1 | Delay: 3.26306 ms
 R_K:99.6614 P_K:-8.42542 | Dly: 3.26306msax:0.175781 ay:0.929199 az:-0.481934 gx:0.0687023 gy:-0.923664 gz:0.694656 | Class: 1 | Delay: 3.27082 ms
 R_K:100.86 P_K:-8.51991 | Dly: 3.27082msax:0.177246 ay:0.925049 az:-0.485352 gx:0.0381679 gy:-0.931298 gz:0.687023 | Class: 1 | Delay: 3.2714 ms
 R_K:102.039 P_K:-8.61519 | Dly: 3.2714msax:0.180176 ay:0.926514 az:-0.47583 gx:0.10687 gy:-0.755725 gz:0.564885 | Class: 1 | Delay: 3.27399 ms
 R_K:103.176 P_K:-8.71158 | Dly: 3.27399msax:0.174072 ay:0.922363 az:-0.481201 gx:0.0610687 gy:-0.916031 gz:0.625954 | Class: 1 | Delay: 3.27106 ms
 R_K:104.296 P_K:-8.79775 | Dly: 3.27106msax:0.179443 ay:0.922607 az:-0.480957 gx:-0.0763359 gy:-0.877863 gz:0.534351 | Class: 1 | Delay: 3.27282 ms
 R_K:105.388 P_K:-8.89034 | Dly: 3.27282msax:0.198975 ay:0.886719 az:-0.483398 gx:0.198473 gy:-0.885496 gz:0.465649 | Class: 1 | Delay: 3.27034 ms
 R_K:106.487 P_K:-9.0237 | Dly: 3.27034msax:0.16626 ay:0.929932 az:-0.488037 gx:0.0763359 gy:-0.870229 gz:0.48855 | Class: 1 | Delay: 3.27393 ms
 R_K:107.528 P_K:-9.085 | Dly: 3.27393msax:0.154297 ay:0.943604 az:-0.468018 gx:0.10687 gy:-0.832061 gz:0.633588 | Class: 1 | Delay: 3.27093 ms
 R_K:108.499 P_K:-9.1225 | Dly: 3.27093msax:0.171631 ay:0.928223 az:-0.478027 gx:-0.206107 gy:-0.992366 gz:1.05344 | Class: 1 | Delay: 3.27377 ms
 R_K:109.467 P_K:-9.19278 | Dly: 3.27377msax:0.186768 ay:0.921875 az:-0.473145 gx:0.0839695 gy:-0.778626 gz:0.351145 | Class: 1 | Delay: 3.26971 ms
 R_K:110.41 P_K:-9.28678 | Dly: 3.26971msax:0.169922 ay:0.914795 az:-0.477051 gx:-0.0687023 gy:-0.549618 gz:0.70229 | Class: 1 | Delay: 3.27045 ms
 R_K:111.335 P_K:-9.34702 | Dly: 3.27045msax:0.171631 ay:0.936768 az:-0.478027 gx:0.351145 gy:-0.816794 gz:0.709924 | Class: 5 | Delay: 3.26442 ms
 R_K:112.223 P_K:-9.40598 | Dly: 3.26442msax:0.174072 ay:0.923584 az:-0.48584 gx:0.0916031 gy:-0.946565 gz:0.725191 | Class: 5 | Delay: 3.27075 ms
 R_K:113.103 P_K:-9.47121 | Dly: 3.27075msax:0.180176 ay:0.925781 az:-0.480713 gx:0.0534351 gy:-0.89313 gz:0.473282 | Class: 1 | Delay: 3.27004 ms
 R_K:113.947 P_K:-9.54453 | Dly: 3.27004msax:0.179199 ay:0.922363 az:-0.475098 gx:0.152672 gy:-0.870229 gz:0.549618 | Class: 5 | Delay: 3.27647 ms
 R_K:114.76 P_K:-9.61526 | Dly: 3.27647msax:0.17334 ay:0.923584 az:-0.480469 gx:0 gy:-0.877863 gz:0.603053 | Class: 5 | Delay: 3.27084 ms
