time,ax,ay,az,gx,gy,gz
1746730009.4219317,0.25,-12.11,-9.29,2.36,-0.14,-0.09
1746730009.4385164,-1.14,-11.99,-9.77,2.54,-0.01,-0.16
1746730009.4634867,-1.81,-11.51,-10.84,2.64,-0.28,-0.43
1746730009.4634867,-2.13,-11.61,-10.55,2.92,-0.44,-0.55
1746730009.4634867,-1.28,-11.07,-9.99,3.13,-0.56,-0.97
1746730009.47161,-1.2,-12.53,-10.75,3.13,-0.53,-1.17
1746730009.4883409,-2.7,-12.2,-12.1,3.5,-0.64,-1.51
1746730009.4966357,-2.57,-11.16,-13.32,4.01,-0.96,-1.72
1746730009.5050974,-2.28,-12.91,-15.22,4.37,-1.66,-1.95
1746730009.5136344,-1.53,-11.82,-14.58,4.37,-2.49,-1.83
1746730009.5217817,-1.79,-15.84,-10.93,4.37,-3.36,-1.15
1746730009.5390933,-3.37,-19.61,-1.64,4.37,-2.94,-0.1
1746730009.5882752,-0.32,-18.75,-1.92,4.37,-2.8,0.06
1746730009.5882752,-5.3,-18.75,3.2,4.37,-2.56,-0.18
1746730009.5882752,-7.41,-13.7,1.37,4.37,-2.0,-0.63
1746730009.5882752,-7.7,-14.07,-0.64,4.34,-2.06,-0.69
1746730009.5882752,-7.23,-19.61,-5.51,4.37,-2.41,-0.95
1746730009.5966253,-5.79,-8.92,-5.96,2.94,-2.41,-1.95
1746730009.6050687,-4.7,0.38,-4.23,1.31,-2.66,-2.97
1746730009.6136239,5.9,-15.4,-15.18,1.16,-4.37,-1.87
1746730009.6217582,4.12,-17.49,1.52,1.81,-4.37,-0.5
1746730009.6383138,2.55,-19.61,9.8,0.98,-3.54,1.43
1746730009.6711514,-4.12,-19.44,9.8,-3.78,0.11,2.04
1746730009.6711514,-6.06,-7.79,-0.77,-4.37,2.64,1.34
1746730009.6711514,-10.02,3.11,-9.69,-4.37,2.98,1.4
1746730009.6711514,-8.15,4.68,-8.99,-4.37,4.37,0.23
1746730009.688032,-2.26,3.47,-28.23,-4.37,0.75,-0.57
1746730009.6965256,-0.48,6.47,-19.39,-4.37,-2.27,1.04
1746730009.7049727,0.23,-2.32,-25.48,-3.24,1.06,0.38
1746730009.7133539,1.05,-5.5,-7.02,-3.47,3.84,1.15
1746730009.7214923,2.53,-3.17,-15.71,-1.98,3.5,1.46
1746730009.7381568,2.26,-3.48,-13.97,-0.46,3.71,1.52
1746730009.779477,0.62,-2.01,-14.56,1.0,3.36,1.21
1746730009.779477,0.61,-8.48,-8.3,-0.83,3.29,2.43
1746730009.779477,1.7,-11.46,-4.89,-2.53,3.27,1.98
1746730009.779477,1.58,-11.39,-2.72,-4.37,3.04,1.41
1746730009.7878711,1.44,-7.45,-7.67,-4.37,2.64,0.52
1746730009.796439,1.06,-4.37,-11.4,-4.37,2.07,0.59
1746730009.8050444,-0.12,-3.9,-13.49,-4.37,1.48,0.71
1746730009.8134835,-0.05,-6.86,-12.45,-4.37,1.11,1.06
1746730009.8216217,0.85,-9.55,-10.03,-3.95,1.15,1.78
1746730009.8383014,-0.47,-11.63,-7.93,-3.88,1.1,2.05
1746730009.8712385,-0.53,-13.27,-6.43,-4.24,0.89,2.07
1746730009.8712385,-0.7,-14.65,-5.95,-4.37,0.71,2.14
1746730009.8712385,-0.96,-15.39,-6.83,-4.37,0.56,2.36
1746730009.8712385,-1.54,-15.6,-6.8,-4.37,0.38,2.7
1746730009.8879254,-1.15,-16.62,-4.9,-3.85,0.17,3.13
1746730009.8963711,0.19,-18.33,-1.87,-3.36,0.02,3.51
1746730009.9048014,1.93,-19.17,0.98,-3.28,0.07,3.77
1746730009.9132702,3.54,-19.61,2.42,-3.84,0.19,3.65
1746730009.9214094,3.34,-19.17,2.15,-4.36,0.35,3.54
1746730009.9381053,0.31,-15.5,-0.24,-4.08,0.47,3.33
1746730009.979579,-2.74,-13.76,-0.35,-2.89,0.65,3.26
1746730009.979579,-1.88,-12.98,1.65,-1.37,0.66,2.93
1746730009.979579,0.41,-11.15,2.04,-1.43,1.26,2.34
1746730009.979579,3.22,-8.3,9.8,-0.8,0.2,2.05
1746730009.9880064,8.3,-8.09,9.8,-0.8,-0.36,1.24
1746730009.996424,0.16,0.32,3.3,4.37,1.85,0.46
1746730010.0048404,11.9,19.59,9.72,4.37,0.69,-2.5
1746730010.016286,11.88,11.82,9.8,4.17,-1.17,-2.85
1746730010.0214412,4.3,-11.28,-4.13,0.08,0.88,-3.29
1746730010.0381384,-4.04,-13.07,-5.48,-3.1,-1.28,-3.38
1746730010.07135,-5.7,-19.61,-7.54,1.21,-0.23,-2.82
