t,mode,S,prom
19.34,1.0,1.0,-0.8610646367073059
19.35,1.0,1.0,-0.8729362964630126
19.36,1.0,1.0,-0.8848079562187193
19.37,1.0,1.0,-0.8956124782562256
19.38,1.0,1.0,-0.9067630410194397
19.39,1.0,1.0,-0.9195602655410766
19.4,1.0,1.0,-0.9333650588989256
19.41,1.0,1.0,-0.9471698522567747
19.42,1.0,1.0,-0.9596311569213866
19.43,1.0,1.0,-0.9687977910041808
19.44,1.0,1.0,-0.9743361115455629
19.45,1.0,1.0,-0.978399795293808
19.46,1.0,1.0,-0.9824634790420531
19.47,1.0,1.0,-0.9884786605834962
19.48,1.0,1.0,-0.9979102849960328
19.49,1.0,1.0,-1.0091225504875183
19.5,1.0,1.0,-1.0207776784896851
19.51,1.0,1.0,-1.0324328064918518
19.52,1.0,1.0,-1.0457095503807068
19.53,1.0,1.0,-1.0631316304206848
19.54,1.0,1.0,-1.0865461707115174
19.55,1.0,1.0,-1.1166809856891633
19.56,1.0,1.0,-1.1567197799682618
19.57,1.0,1.0,-1.1942390680313113
19.58,1.0,1.0,-1.24177405834198
19.59,1.0,1.0,-1.3072470426559448
19.6,1.0,1.0,-1.3976052403450012
19.61,1.0,1.0,-1.4989026546478272
19.62,1.0,1.0,-1.5978013277053833
19.63,1.0,1.0,-1.6738192677497865
19.64,1.0,1.0,-1.7192296624183654
19.65,1.0,1.0,-1.742048168182373
19.66,1.0,1.0,-1.747761118412018
19.67,1.0,1.0,-1.7534740686416626
19.68,2.0,2.0,-1.7456399321556093
19.69,2.0,2.0,-1.7118665814399718
19.7,2.0,2.0,-1.6360023140907287
19.71,2.0,2.0,-1.5331517696380614
19.72,2.0,2.0,-1.4303012251853944
19.73,2.0,2.0,-1.3090445458889008
19.74,2.0,2.0,-1.0838936388492584
19.75,2.0,2.0,-0.7321205794811247
19.76,2.0,2.0,-0.40079799294471746
19.77,2.0,2.0,-0.06947540640830993
19.78,3.0,3.0,0.19623871445655824
19.79,3.0,3.0,0.48422201275825494
19.8,3.0,3.0,0.8183898746967315
