timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,classe_prevista
1777250997380,0.0257165,1.02047,-0.141276,0.0391349,-0.0014446,-0.0377699,0,0,3.4162,5
1777250997394,0.0243562,1.01998,-0.141103,0.0391321,-0.00137641,-0.0339214,0,0,3.44864,5
1777250997407,0.0234282,1.01957,-0.141336,0.0390052,-0.00129064,-0.0291541,0,0,3.42381,5
1777250997421,0.0229494,1.01887,-0.141844,0.0382988,-0.00094849,-0.0239606,0,0,3.66118,5
1777250997438,0.022744,1.01826,-0.14205,0.0378847,-0.000445691,-0.0187843,0,0,6.50061,5
1777250997452,0.0220434,1.01806,-0.141641,0.0373482,5.88772e-05,-0.0131961,0,0,3.38431,5
1777250997470,0.021834,1.01771,-0.142022,0.0367177,0.000749237,-0.00744615,0,0,8.07036,5
1777250997483,0.0213351,1.01689,-0.142546,0.0360497,0.00140515,-0.000973923,0,0,3.36955,5
1777250997497,0.0212476,1.01618,-0.142329,0.0352993,0.00193864,0.00619288,0,0,3.40816,5
1777250997510,0.021302,1.01552,-0.14285,0.0345653,0.00231803,0.0139297,0,0,3.38186,5
1777250997525,0.0222297,1.01526,-0.142807,0.0340523,0.00244492,0.0208942,0,0,3.43332,5
1777250997539,0.0228179,1.01478,-0.143356,0.0337651,0.00232919,0.0269928,0,0,3.41158,5
1777250997553,0.0245371,1.01452,-0.143148,0.0334383,0.00211718,0.0321627,0,0,4.22864,5
1777250997567,0.026242,1.01304,-0.143513,0.033087,0.00165159,0.0362847,0,0,3.42014,5
1777250997581,0.0277417,1.01172,-0.144392,0.0327425,0.00103228,0.0396403,0,0,4.21168,5
1777250997594,0.0298283,1.01195,-0.144098,0.0327771,0.000353509,0.0424522,0,0,3.47603,5
1777250997608,0.0313186,1.01142,-0.144287,0.0330195,-0.000437056,0.0445712,0,0,3.39796,5
1777250997622,0.0327116,1.01108,-0.144999,0.0332998,-0.00140593,0.0462331,0,0,3.41679,5
1777250997635,0.0339169,1.01118,-0.145644,0.0337655,-0.00227336,0.0473436,0,0,3.41662,5
1777250997650,0.03526,1.01029,-0.146814,0.0340039,-0.00294655,0.0482676,0,0,4.71033,5
1777250997664,0.0348159,1.00877,-0.148055,0.0332826,-0.00337217,0.0496964,0,0,3.38281,5
1777250997678,0.0361223,1.01225,-0.147858,0.0333468,-0.00165011,0.0527878,0,0,4.18179,5
1777250997691,0.0399025,1.01199,-0.146233,0.0333903,-0.00141625,0.0520106,0,0,3.42905,5
1777250997706,0.040814,1.00973,-0.145987,0.0338424,-0.00105421,0.0512127,0,0,4.12268,5
1777250997719,0.042455,1.00632,-0.145399,0.0336183,-2.30902e-05,0.0496161,0,0,3.42097,5
1777250997733,0.0431,1.01993,-0.142146,0.036327,0.000851705,0.0485286,0,0,3.4336,5
1777250997747,0.050296,1.02859,-0.137486,0.0438936,0.000551301,0.045267,0,0,3.6181,5
1777250997760,0.0544452,1.05729,-0.13391,0.0581222,-0.00137221,0.0419443,0,0,3.38062,5
1777250997775,0.0698376,1.07465,-0.126851,0.0891597,-0.00960205,0.0584274,0,0,4.76727,5
1777250997789,0.064455,1.0968,-0.124542,0.124254,-0.0194855,0.0575437,0,0,3.3994,5
1777250997803,0.0677415,1.11484,-0.121665,0.166393,-0.0296881,0.0623829,0,0,3.98175,5
1777250997816,0.0707479,1.13544,-0.117045,0.217652,-0.0409198,0.0648698,0,0,3.41497,5
1777250997830,0.0735856,1.16151,-0.112794,0.278394,-0.0531229,0.066836,0,0,3.85629,5
1777250997844,0.0762641,1.19327,-0.106193,0.350372,-0.0675531,0.0712697,0,0,3.4419,5
1777250997857,0.082668,1.22186,-0.0999352,0.432464,-0.0853916,0.0770261,0,0,3.35838,5
1777250997871,0.0865078,1.24898,-0.0934669,0.52508,-0.104512,0.0806612,0,0,3.45038,5
