timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774389182130,0.0571082,0.983803,-0.283329,9.331700000000003e-16,-1.05322e-14,6.345510000000002e-15,3.27507,1,1.182,2,2.0
1774389182143,0.0570236,0.983742,-0.283623,9.1508e-16,-1.0481000000000001e-14,6.2807399999999996e-15,3.27161,1,1.195,2,2.0
1774389182157,0.0571244,0.983823,-0.283679,9.836470000000005e-16,-1.0484e-14,6.2667e-15,3.28442,5,1.209,2,2.0
1774389182170,0.057178,0.983847,-0.283819,9.54162e-16,-1.0371200000000001e-14,6.300560000000001e-15,3.38748,1,1.222,2,2.0
1774389182184,0.0571224,0.983956,-0.284069,9.94844e-16,-1.0380300000000002e-14,6.259720000000001e-15,3.25046,1,1.236,2,2.0
1774389182197,0.05708,0.984038,-0.284042,9.989870000000002e-16,-1.03419e-14,6.216890000000002e-15,3.239,5,1.249,2,2.0
1774389182210,0.0567617,0.984053,-0.284048,1.0714100000000002e-15,-1.0292700000000001e-14,6.1165100000000005e-15,3.28178,5,1.262,2,2.0
1774389182224,0.0569166,0.984163,-0.284118,1.06698e-15,-1.0135000000000002e-14,6.0132e-15,3.28133,1,1.276,2,2.0
1774389182237,0.0567443,0.984162,-0.28411,1.0670700000000004e-15,-1.0118799999999999e-14,5.911410000000002e-15,3.35872,5,1.289,2,2.0
1774389182251,0.0567825,0.984299,-0.284487,1.14852e-15,-1.0155000000000003e-14,5.84101e-15,3.25974,5,1.303,2,2.0
1774389182264,0.0568404,0.984217,-0.28442,1.1825800000000002e-15,-1.0163400000000003e-14,5.860210000000001e-15,3.30922,5,1.316,2,2.0
1774389182278,0.0570559,0.984342,-0.284388,1.19332e-15,-1.0201400000000004e-14,5.80553e-15,3.27461,5,1.33,2,2.0
1774389182291,0.0568989,0.98445,-0.284219,1.1649200000000002e-15,-1.0228600000000002e-14,5.758210000000002e-15,3.28229,5,1.343,2,2.0
1774389182305,0.0568129,0.984521,-0.284057,1.17665e-15,-1.0228600000000002e-14,5.67928e-15,3.26742,5,1.357,2,2.0
1774389182318,0.0566345,0.984739,-0.283913,1.11921e-15,-1.0168700000000001e-14,5.596220000000001e-15,3.2527,5,1.37,2,2.0
1774389182331,0.0566241,0.984755,-0.283593,1.11638e-15,-1.01378e-14,5.633420000000001e-15,3.29904,5,1.383,2,2.0
1774389182345,0.0565287,0.984749,-0.283608,1.0323500000000001e-15,-1.0138700000000002e-14,5.552930000000001e-15,3.25115,5,1.397,2,2.0
1774389182358,0.0563093,0.984519,-0.283751,9.57315e-16,-1.01009e-14,5.5454700000000006e-15,3.29148,1,1.41,2,2.0
1774389182372,0.0563131,0.984588,-0.284133,8.69361e-16,-1.0022500000000004e-14,5.512730000000001e-15,3.26694,1,1.424,2,2.0
1774389182385,0.0562954,0.984557,-0.284338,8.163140000000001e-16,-1.0046900000000005e-14,5.614570000000001e-15,3.27109,5,1.437,2,2.0
1774389182398,0.05646,0.984485,-0.28448,7.234240000000002e-16,-1.00271e-14,5.6464600000000014e-15,3.27211,1,1.45,2,2.0
1774389182412,0.0563291,0.984438,-0.284585,6.014890000000001e-16,-9.99992e-15,5.72367e-15,3.25427,1,1.464,2,2.0
1774389182426,0.0565776,0.984189,-0.284652,5.206490000000001e-16,-9.961390000000002e-15,5.710910000000001e-15,4.2159,1,1.478,2,2.0
1774389182439,0.0565697,0.984208,-0.284632,4.400620000000001e-16,-9.899330000000001e-15,5.763100000000001e-15,3.25163,1,1.491,2,2.0
1774389182453,0.0565301,0.984279,-0.284494,3.4686700000000005e-16,-9.88785e-15,5.868020000000001e-15,3.29216,1,1.505,2,2.0
1774389182466,0.0562787,0.984316,-0.284705,1.2188e-16,-9.825630000000003e-15,5.958490000000001e-15,3.26465,1,1.518,2,2.0
1774389182480,0.0563586,0.983934,-0.285098,-1.0761400000000006e-16,-9.762620000000001e-15,6.009630000000001e-15,3.6288,1,1.532,2,2.0
1774389182493,0.0565845,0.98391,-0.284898,-2.4288e-16,-9.647480000000001e-15,5.899470000000002e-15,3.27024,1,1.545,2,2.0
1774389182507,0.0564054,0.983675,-0.285101,-3.9624900000000006e-16,-9.6544e-15,5.756960000000001e-15,3.24796,1,1.559,2,2.0
1774389182520,0.0563196,0.984079,-0.285307,-5.795530000000002e-16,-9.532490000000004e-15,5.789430000000001e-15,3.31076,1,1.572,2,2.0
1774389182533,0.0559919,0.984295,-0.285204,-7.568560000000003e-16,-9.528740000000003e-15,5.86718e-15,3.27591,1,1.585,2,2.0
1774389182547,0.0560417,0.984608,-0.284636,-8.42858e-16,-9.456690000000003e-15,5.859220000000002e-15,3.29372,1,1.599,2,2.0
1774389182560,0.0559611,0.984555,-0.284285,-9.19754e-16,-9.38012e-15,5.83029e-15,3.26085,1,1.612,2,2.0
1774389182574,0.055852,0.984729,-0.284547,-9.538000000000004e-16,-9.34638e-15,5.892910000000002e-15,3.32657,1,1.626,2,2.0
1774389182587,0.056068,0.984596,-0.284606,-9.51682e-16,-9.40873e-15,5.8364000000000015e-15,3.26959,1,1.639,2,2.0
1774389182601,0.0559649,0.984469,-0.284641,-1.0181900000000003e-15,-9.403360000000002e-15,5.88154e-15,3.63541,1,1.653,2,2.0
1774389182614,0.0569768,0.984881,-0.284428,-8.968510000000002e-16,-9.406860000000003e-15,5.898460000000001e-15,3.28355,1,1.666,2,2.0
