time,ax,ay,az,gx,gy,gz
1746729741.5333757,-2.25,-8.85,-6.66,-0.57,-0.62,0.64
1746729741.5333757,-1.81,-10.04,-7.2,-0.84,-0.22,0.22
1746729741.541512,-0.42,-9.45,-7.49,-0.97,0.08,-0.04
1746729741.5499017,-0.25,-7.63,-8.99,-0.9,0.36,-0.15
1746729741.5583446,-0.0,-5.9,-9.92,-0.61,0.34,-0.13
1746729741.5669096,0.16,-6.18,-8.59,-0.09,-0.1,0.06
1746729741.5753326,-0.1,-5.88,-6.53,0.31,-0.29,0.14
1746729741.6000042,1.35,-6.97,-3.22,0.44,-0.15,-0.15
1746729741.6000042,2.9,-6.07,-1.15,0.5,0.14,-0.46
1746729741.6085606,3.14,-5.1,-0.85,0.75,0.34,-0.74
1746729741.6168401,3.47,-2.2,-0.03,1.55,0.26,-0.91
1746729741.625422,1.77,-11.4,-9.99,0.17,0.95,-1.83
1746729741.64192,-1.3,-7.01,-14.46,-0.15,-0.31,-0.54
1746729741.6501482,-6.17,-7.58,-14.88,2.46,-2.04,-0.49
1746729741.6585975,1.16,-12.76,-1.8,2.86,-2.94,0.57
1746729741.6670208,3.52,-19.61,0.91,2.04,-0.98,0.02
1746729741.7081523,2.75,-19.29,-1.04,0.15,0.36,-0.43
1746729741.7649987,-1.62,-12.51,-5.42,-0.59,1.8,-0.97
1746729741.7649987,-0.71,-3.2,-13.93,-0.78,1.4,-1.02
1746729741.7649987,-6.47,-19.0,-19.21,-0.16,0.22,-1.15
1746729741.7649987,-1.48,-9.72,-13.14,0.91,-0.83,-0.5
1746729741.7649987,1.8,-6.24,-10.8,1.45,-1.16,-0.13
1746729741.773245,0.63,-11.61,-8.49,1.2,-0.85,0.37
1746729741.773245,-1.09,-12.91,-6.02,0.73,-0.47,0.14
1746729741.7753143,-1.0,-11.89,-6.57,0.15,0.01,-0.12
1746729741.7753143,-1.36,-10.96,-8.78,-0.04,0.22,-0.3
1746729741.781377,-0.77,-8.87,-10.54,0.05,0.29,-0.33
1746729741.79804,-1.69,-8.51,-10.9,0.15,-0.11,-0.19
1746729741.79804,-0.83,-9.74,-10.0,0.31,-0.16,-0.07
1746729741.8065412,-1.0,-10.04,-9.41,0.3,-0.15,-0.07
1746729741.8149233,-0.9,-10.33,-8.89,0.2,-0.07,-0.14
1746729741.831497,-0.92,-10.13,-9.1,0.12,0.01,-0.18
1746729741.8398623,-0.89,-9.64,-9.69,0.1,0.03,-0.2
1746729741.848372,-0.74,-9.55,-9.93,0.14,-0.01,-0.17
1746729741.8569362,-0.81,-9.64,-9.61,0.19,-0.05,-0.14
1746729741.865492,-0.65,-10.27,-8.97,0.21,-0.07,-0.16
1746729741.8819036,-0.82,-10.08,-8.81,0.15,0.05,-0.18
1746729741.931582,-0.73,-10.66,-9.16,0.27,0.07,-0.21
1746729741.931582,-1.03,-9.39,-9.73,0.15,0.08,-0.23
1746729741.931582,-0.78,-9.13,-10.0,0.16,0.04,-0.24
1746729741.931582,-0.94,-9.25,-9.79,0.2,-0.01,-0.25
1746729741.9397807,-0.88,-9.4,-9.51,0.19,-0.03,-0.31
1746729741.9397807,-0.94,-9.66,-9.35,0.18,-0.01,-0.35
1746729741.9481986,-0.55,-9.78,-9.22,0.26,0.02,-0.36
1746729741.956626,-0.43,-9.78,-9.57,0.26,0.03,-0.34
1746729741.9650676,-0.55,-9.92,-9.51,0.26,-0.01,-0.3
1746729741.9816785,-0.23,-9.92,-9.75,0.27,-0.04,-0.24
1746729742.0148087,-0.13,-10.13,-9.41,0.34,-0.03,-0.18
1746729742.0148087,-0.27,-10.25,-9.12,0.37,-0.02,-0.11
1746729742.0148087,-0.59,-10.17,-9.12,0.46,-0.07,-0.11
1746729742.0148087,-0.64,-9.62,-8.92,0.3,0.02,-0.14
1746729742.0332,-0.78,-9.41,-9.82,0.32,0.02,-0.16
1746729742.0666175,-0.65,-8.99,-10.0,0.34,-0.04,-0.13
1746729742.0711305,-0.82,-9.48,-9.81,0.43,-0.21,-0.11
1746729742.0711305,-0.62,-9.89,-8.99,0.38,-0.2,-0.12
1746729742.0711305,-0.21,-10.04,-8.83,0.38,-0.08,-0.18
