t,mode,S,prom
21.838,5.0,5.0,0.3045995905995369
21.848,5.0,5.0,0.29178307205438614
21.858,5.0,5.0,0.2975040450692177
21.868,5.0,5.0,0.2982696905732155
21.878,5.0,5.0,0.26808972805738446
21.888,5.0,5.0,0.21434878557920456
21.898,5.0,5.0,0.16939115226268767
21.908,5.0,5.0,0.15001934468746186
21.918,5.0,5.0,0.1683759644627571
21.928,5.0,5.0,0.1422077775001526
21.938,5.0,5.0,0.060441684722900395
21.948,5.0,5.0,-0.03884190917015076
21.958,5.0,5.0,-0.1443897306919098
21.968,5.0,5.0,-0.22035221457481385
21.978,5.0,5.0,-0.25816538780927656
21.988,5.0,5.0,-0.24919499605894088
21.998,5.0,5.0,-0.2402246043086052
22.008,5.0,5.0,-0.2390216253697872
22.018,5.0,5.0,-0.26973167415708305
22.028,5.0,5.0,-0.27327092196792363
22.038,5.0,5.0,-0.2352209797129035
22.048,5.0,5.0,-0.19717103745788336
22.058,5.0,5.0,-0.17919438984245062
22.068,5.0,5.0,-0.19686843659728764
22.078,5.0,5.0,-0.2142719632014632
22.088,5.0,5.0,-0.2274458086118102
22.098,5.0,5.0,-0.2406196540221572
22.108,5.0,5.0,-0.2609697176143528
22.118,5.0,5.0,-0.27906103134155275
22.128,5.0,5.0,-0.2776722699403763
22.138,3.0,5.0,-0.2622747927904129
22.148,3.0,5.0,-0.2396827667951584
22.158,3.0,5.0,-0.20407782569527627
22.168,3.0,5.0,-0.15957705676555634
22.178,3.0,5.0,-0.11330770254135132
22.188,3.0,5.0,-0.0762241929769516
22.198,3.0,5.0,-0.03993139490485191
22.209,3.0,5.0,-0.0165779747068882
22.219,3.0,5.0,-0.001303844712674618
22.229,3.0,5.0,0.00465554166585207
22.239,3.0,5.0,0.010614928044378757
22.249,3.0,5.0,0.0031244823709130286
22.259,3.0,5.0,-0.0134072570130229
22.269,3.0,5.0,-0.03247793074697256
22.279,3.0,5.0,-0.04916578885167837
22.289,3.0,5.0,-0.0602982746437192
22.299,3.0,5.0,-0.07064004894345999
22.309,3.0,5.0,-0.07639503702521325
22.319,3.0,5.0,-0.07894731238484384
22.329,3.0,5.0,-0.07558956071734428
22.339,3.0,5.0,-0.07223180904984473
22.349,3.0,5.0,-0.06451521143317222
22.359,3.0,5.0,-0.05687811374664306
22.369,3.0,5.0,-0.049606899917125705
22.379,3.0,5.0,-0.04321697391569614
22.389,3.0,5.0,-0.03779116217046976
22.399,3.0,5.0,-0.032365350425243376
22.409,3.0,5.0,-0.02472577560693025
22.419,3.0,5.0,-0.013743427768349649
22.429,3.0,5.0,0.0006993178278207779
22.439,3.0,5.0,0.01709889806807041
22.449,3.0,5.0,0.03539491556584835
22.459,3.0,5.0,0.05482868589460849
22.469,3.0,5.0,0.0715646866708994
22.479,3.0,5.0,0.08373207375407217
22.489,3.0,5.0,0.09100459907203912
22.499,3.0,5.0,0.09827712439000606
22.509,3.0,5.0,0.10265919268131256
22.519,3.0,5.0,0.10504871979355812
22.529,3.0,5.0,0.10279794111847876
22.539,3.0,5.0,0.09507675617933274
22.549,3.0,5.0,0.08735557124018668
22.559,3.0,5.0,0.07662581540644169
22.569,3.0,5.0,0.06633430682122707
22.579,3.0,5.0,0.057929973304271694
22.589,3.0,5.0,0.048223603144288064
22.599,3.0,5.0,0.03851723298430442
22.609,3.0,5.0,0.021794480085372925
22.619,3.0,5.0,-0.0028668783605098726
22.629,3.0,5.0,-0.029581608623266215
22.639,3.0,5.0,-0.05344700440764427
22.649,3.0,5.0,-0.0773124001920223
22.659,3.0,5.0,-0.09677922911942004
22.669,3.0,5.0,-0.11159376166760922
22.679,3.0,5.0,-0.12314277440309523
22.689,3.0,5.0,-0.13251792527735234
22.699,3.0,5.0,-0.14189307615160943
22.709,3.0,5.0,-0.1471829243004322
22.719,3.0,5.0,-0.14706512913107872
22.729,3.0,5.0,-0.1437780477106571
22.739,3.0,5.0,-0.13799157217144967
22.749,3.0,5.0,-0.1322050966322422
22.759,3.0,5.0,-0.12431293949484826
22.769,3.0,5.0,-0.11795006915926934
22.779,3.0,5.0,-0.11476531401276588
22.789,3.0,5.0,-0.11226893663406372
22.799,3.0,5.0,-0.10977255925536156
22.809,3.0,5.0,-0.10489611923694613
22.819,3.0,5.0,-0.09609773233532906
22.829,3.0,5.0,-0.08475202508270739
22.839,3.0,5.0,-0.07639772295951844
22.849,3.0,5.0,-0.06804342083632946
22.859,3.0,5.0,-0.0667085025459528
22.869,3.0,5.0,-0.06865748278796673
22.879,3.0,5.0,-0.06775966696441174
22.889,3.0,5.0,-0.06280352473258972
22.899,3.0,5.0,-0.0578473825007677
22.909,3.0,5.0,-0.051406641979701816
22.919,3.0,5.0,-0.045710041257552805
22.931,3.0,5.0,-0.04157321962993592
22.941,3.0,5.0,-0.03628014985006303
22.951,3.0,5.0,-0.03331390924286097
22.961,3.0,5.0,-0.03086258068215102
22.971,3.0,5.0,-0.03012274547945708
22.981,3.0,5.0,-0.03308862640988082
22.991,3.0,5.0,-0.039655159483663736
23.001,3.0,5.0,-0.04622169255744665
23.011,3.0,5.0,-0.05318232639692724
23.021,3.0,5.0,-0.05654262714087963
23.031,3.0,5.0,-0.05465961433947086
23.041,3.0,5.0,-0.05033671520650387
23.051,3.0,5.0,-0.04368698690086603
23.061,3.0,5.0,-0.03370509278029203
23.071,3.0,5.0,-0.022812149487435818
23.081,3.0,5.0,-0.013319772901013494
23.091,3.0,5.0,-0.005952984699979425
23.101,3.0,5.0,0.0014138035010546443
23.111,3.0,5.0,0.006377594685181976
23.121,3.0,5.0,0.00804629153572023
23.131,3.0,5.0,0.005925503605976701
23.141,3.0,5.0,2.1925987675786017e-05
23.151,3.0,5.0,-0.005881651630625128
23.161,3.0,5.0,-0.014954181900247932
23.171,3.0,5.0,-0.025145667186006904
23.181,3.0,5.0,-0.03361352337524295
23.191,3.0,5.0,-0.03863049605861306
23.201,3.0,5.0,-0.04364746874198318
23.211,3.0,5.0,-0.04589501665905118
23.221,3.0,5.0,-0.047540582437068234
23.231,3.0,5.0,-0.049727219343185435
23.241,3.0,5.0,-0.05057095289230347
23.251,3.0,5.0,-0.05267622228711844
23.261,3.0,5.0,-0.053685751371085645
23.271,3.0,5.0,-0.052453782968223096
