t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
54.885,0.28973942995071406,-0.1538342833518982,3.5708718299865723,0.600455105304718,0.12233291566371918,0.0,0.0,0.13389545679092407,0.0,0.0
54.899,0.2893816828727722,-0.12443054467439651,4.6478118896484375,0.6113410592079163,0.13191473484039307,0.0,0.0,0.1457168161869049,0.0,0.0
54.912,0.2966656982898712,-0.14534631371498108,4.981119632720947,0.575264573097229,0.1782214343547821,0.0,0.0,0.13963542878627777,0.0,0.0
54.925,0.3081875741481781,-0.18510347604751587,0.9920619130134583,0.5520515441894531,0.1963260918855667,0.0,0.0,0.13963542878627777,0.0,0.0
54.938,0.33267891407012934,-0.25648689270019526,2.331258773803711,0.5787948369979857,0.23853017389774325,0.0,0.0,0.1485700011253357,0.0,0.0
54.952,0.3452177345752716,-0.3324761092662812,5.231274127960205,0.5861319303512573,0.3530007600784302,0.0,0.0,0.1485700011253357,0.0,0.0
54.965,0.3671627342700958,-0.306233286857605,0.727913498878479,0.5910383462905884,0.39560937881469727,0.0,0.0,0.1485700011253357,0.0,0.0
54.978,0.3703125715255737,-0.3181836605072021,2.2763259410858154,0.6228208541870117,0.44771280884742737,0.0,0.0,0.1485700011253357,0.0,0.0
54.992,0.384583055973053,-0.34175145626068115,0.5728728771209717,0.6487401723861694,0.48856687545776367,0.0,0.0,0.16818645596504211,0.0,0.0
55.005,0.39366090297698975,-0.36767119169235224,0.2285175025463104,0.6492689251899719,0.5105435848236084,0.0,0.0,0.1777905523777008,0.0,0.0
55.018,0.3664227724075317,-0.4011715054512024,1.6083228588104248,0.607998251914978,0.5141160488128662,0.0,0.0,0.18529212474823,0.0,0.0
55.032,0.3967980742454529,-0.4176139235496521,-1.1767688989639282,0.662933349609375,0.5423188209533691,0.0,0.0,0.2042682319879532,0.0,0.0
55.045,0.41115105152130127,-0.4085268378257752,3.1827337741851807,0.6957992911338806,0.5773508548736572,0.0,0.0,0.22013765573501587,0.0,0.0
55.058,0.389404445886612,-0.3844712376594544,2.520992517471313,0.6531780362129211,0.6103795766830444,0.0,0.0,0.2268482893705368,0.0,0.0
55.072,0.3751568794250488,-0.37504008412361145,1.022207736968994,0.6135951280593872,0.6472344398498535,0.0,0.0,0.23746408522129056,0.0,0.0
55.085,0.4019166827201843,-0.3917730152606964,2.4799892902374268,0.676177978515625,0.6780076622962952,0.0,0.0,0.25350046157836914,0.0,0.0
55.099,0.42130294442176813,-0.4194721281528473,2.1241071224212646,0.7381050586700438,0.6961519718170166,0.0,0.0,0.2653005123138428,0.0,0.0
55.112,0.4079425036907196,-0.4333726763725281,-0.4351012408733368,0.6890472769737244,0.6574885845184326,0.0,0.0,0.2693554162979126,0.0,0.0
55.125,0.4262917339801788,-0.4376676678657532,-0.6584018468856812,0.7350708842277528,0.6444708108901978,0.0,0.0,0.2693554162979126,0.0,0.0
55.138,0.4682585597038269,-0.4279071986675263,-2.299649953842163,0.7913422584533691,0.6233399510383606,0.0,0.0,0.2881261110305786,0.0,0.0
55.152,0.5136321187019348,-0.4172598123550415,-2.2214949131011963,0.7956684827804564,0.5765024423599243,0.0,0.0,0.2775190472602844,0.0,0.0
55.165,0.48665043711662287,-0.3851979374885559,-1.1821075677871704,0.8091728687286378,0.5607749223709105,0.0,0.0,0.3074764609336853,0.0,0.0
55.178,0.4775921404361725,-0.3815173804759979,2.15494704246521,0.7907175421714783,0.5102526545524597,0.0,0.0,0.3074764609336853,0.0,0.0
55.192,0.48586931824684143,-0.3281906843185425,-4.664092063903809,0.8449867367744445,0.267234206199646,0.0,0.0,0.3071484863758087,0.0,0.0
55.205,0.5184558033943176,-0.29849445819854736,-2.878478527069092,0.901869297027588,0.2168353348970413,0.0,0.0,0.31447821855545044,0.0,0.0
55.218,0.5357686877250672,-0.30177584290504456,1.2114084959030151,0.8955021500587462,0.21180632710456848,0.0,0.0,0.31447821855545044,0.0,0.0
55.232,0.523310124874115,-0.260768860578537,-6.366649627685546,0.8504320979118347,0.27829676866531367,0.0,0.0,0.3171350955963135,0.0,0.0
55.245,0.5221859812736511,-0.24582162499427795,0.31995847821235657,0.8445864915847777,0.3121876120567322,0.0,0.0,0.3036765158176422,0.0,0.0
55.258,0.52262282371521,-0.24683657288551328,-0.4312165081501007,0.8122258186340333,0.3338627815246582,0.0,0.0,0.2929590046405792,0.0,0.0
55.272,0.5396590828895569,-0.2577226459980011,-0.4951201379299164,0.86711186170578,0.3307684659957886,0.0,0.0,0.2867925465106964,0.0,0.0
55.285,0.5233428478240967,-0.2548063695430756,-0.7750410437583923,0.8296226859092712,0.33093512058258057,0.0,0.0,0.273918092250824,0.0,0.0
55.298,0.5578519701957704,-0.24791473150253296,-1.8151088953018188,0.8827454447746277,0.3210475742816925,0.0,0.0,0.25298458337783813,0.0,0.0
55.312,0.5469544529914856,-0.23645341396331787,-2.593083620071411,0.8423118591308595,0.3020036816596985,0.0,0.0,0.23656022548675537,0.0,0.0
55.325,0.5721781849861145,-0.2252752184867859,-1.5055015087127686,0.8738634586334227,0.28525638580322266,0.0,0.0,0.2198370844125748,0.0,0.0
55.339,0.5581523776054382,-0.20974907279014587,-0.8687317371368408,0.8311553001403807,0.2881277799606323,0.0,0.0,0.2042074203491211,0.0,0.0
55.352,0.5198287963867188,-0.18660734593868256,0.5304275155067444,0.7832581400871278,0.308652937412262,0.0,0.0,0.1775103211402893,0.0,0.0
55.366,0.560824453830719,-0.1902647018432617,0.0257246196269989,0.837925374507904,0.3098195493221283,0.0,0.0,0.15878254175186157,0.0,0.0
55.379,0.5231091976165771,-0.1869022399187088,0.032925792038440704,0.7846949696540833,0.3198018968105316,0.0,0.0,0.15878254175186157,0.0,0.0
55.392,0.5652864575386048,-0.21016424894332889,-2.315315723419189,0.8402267694473265,0.3276546001434326,0.0,0.0,0.14143715798854828,0.0,0.0
55.406,0.5754769444465637,-0.23928895592689517,0.17255264520645142,0.8807969093322755,0.335906058549881,0.0,0.0,0.14111897349357605,0.0,0.0
55.419,0.5948977470397949,-0.2544265389442444,0.6751656532287598,0.9322744011878968,0.264370858669281,0.0,0.0,0.15628808736801147,0.0,0.0
55.432,0.6121108531951904,-0.2695477604866028,-0.2728857100009918,0.9858563542366029,0.10237860679626463,0.0,0.0,0.1716250777244568,0.0,0.0
55.446,0.5872547030448914,-0.2554611563682556,-1.6401221752166748,0.9596607089042664,-0.032309852540493005,0.0,0.0,0.17556487023830414,0.0,0.0
55.459,0.5893710255622864,-0.2195080816745758,-1.7373762130737305,0.962108075618744,0.01864829659461975,0.0,0.0,0.17429713904857635,0.0,0.0
55.473,0.5709614753723145,-0.1955838650465012,-2.1287329196929927,0.9450699687004088,-0.003664124757051468,0.0,0.0,0.16575215756893158,0.0,0.0
55.486,0.558722734451294,-0.14151956140995026,0.9538365006446838,0.929378628730774,0.24408702552318573,0.0,0.0,0.15348145365715027,0.0,0.0
55.499,0.5746707320213318,-0.11470417678356172,-0.8346357941627502,0.9305873513221741,0.20726545155048368,0.0,0.0,0.14787423610687256,0.0,0.0
55.512,0.570161521434784,-0.08106119930744171,-2.9677145481109615,0.9038825035095216,0.13176149129867554,0.0,0.0,0.12977460026741028,0.0,0.0
55.526,0.5646710395812988,-0.07491275668144226,-0.27212685346603394,0.8550811409950256,0.1055835634469986,0.0,0.0,0.12977460026741028,0.0,0.0
55.539,0.5615147352218628,-0.0765131860971451,-1.8451493978500368,0.8609769344329834,0.09609724581241608,0.0,0.0,0.10507364571094512,0.0,0.0
55.553,0.5888475179672241,-0.030201993882656097,0.903090000152588,0.8811081647872925,0.07677040994167328,0.0,0.0,0.09152375161647795,0.0,0.0
55.566,0.5620585083961487,-0.011285901069641112,0.869227647781372,0.8566615581512451,0.09016450494527818,0.0,0.0,0.07864841818809509,0.0,0.0
55.579,0.5799751877784729,0.0007869303226470947,-0.49539002776145935,0.8572413921356201,0.09947273880243299,0.0,0.0,0.07864841818809509,0.0,0.0
