t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
31.6,0.029149664565920833,-0.5552668571472168,1.0424964427947998,0.2222248464822769,-1.1779555082321167,0.0,0.0,-0.15121455490589142,0.0,0.0
31.613,0.033812981098890305,-0.4710707068443298,0.9856380224227904,0.2586176097393036,-1.2452657222747805,0.0,0.0,-0.15008904039859772,0.0,0.0
31.626,0.0013023253995925188,-0.485072523355484,-2.7100570201873775,0.22172439098358157,-1.350780725479126,0.0,0.0,-0.13826456665992737,0.0,0.0
31.64,-0.002206806791946292,-0.4008418321609497,6.1560139656066895,0.1882499009370804,-1.3920447826385498,0.0,0.0,-0.16463473439216614,0.0,0.0
31.653,-0.011244865134358406,-0.4583276510238648,-0.7643378973007202,0.120366670191288,-1.3757065534591677,0.0,0.0,-0.2206181287765503,0.0,0.0
31.666,-0.019422229379415512,-0.5279035568237305,-6.272249698638916,0.08246809244155885,-1.259249210357666,0.0,0.0,-0.28553467988967896,0.0,0.0
31.679,-0.02509545348584652,-0.47936013340950007,11.16397762298584,0.051146846264600754,-1.142867088317871,0.0,0.0,-0.3652438521385193,0.0,0.0
31.693,-0.031565919518470764,-0.5246145725250244,-29.13706970214844,0.0018805336439982057,-1.071148157119751,0.0,0.0,-0.45597958564758306,0.0,0.0
31.706,-0.036443378776311874,-0.4304097890853882,-3.188437938690185,-0.04365503787994385,-1.0076133012771606,0.0,0.0,-0.5499401092529297,0.0,0.0
31.719,-0.007434840779751539,-0.36340165138244634,-3.4162490367889404,0.0009515919373370707,-0.9435966610908508,0.0,0.0,-0.6108049750328064,0.0,0.0
31.733,-0.0011026323772966862,-0.3636853396892548,3.035408973693848,0.045620985329151154,-0.9325754642486572,0.0,0.0,-0.6315143704414368,0.0,0.0
31.746,0.0060550845228135594,-0.3827090561389923,4.397239208221436,0.085826575756073,-0.9530664682388305,0.0,0.0,-0.6249092221260071,0.0,0.0
31.762,0.013911045156419275,-0.3566744923591614,3.342803478240967,0.11452075839042664,-1.0184403657913208,0.0,0.0,-0.5977379679679872,0.0,0.0
31.773,0.023013660684227943,-0.28947579860687256,0.7949318289756776,0.1567154973745346,-1.1195924282073977,0.0,0.0,-0.5592237710952759,0.0,0.0
31.786,0.033418308943510056,-0.22890427708625796,0.4470795392990112,0.2046130746603012,-1.2268881797790527,0.0,0.0,-0.5592237710952759,0.0,0.0
31.799,0.04248802363872528,-0.2117126137018204,2.330357789993286,0.1810583174228668,-1.370514154434204,0.0,0.0,-0.5627689957618713,0.0,0.0
31.813,0.03578034043312073,-0.24052929878234863,-0.6794169545173645,0.10839872807264328,-1.6502468585968018,0.0,0.0,-0.6241093873977661,0.0,0.0
31.827,0.028637804090976715,-0.2268473356962204,1.2677057981491089,0.05300791934132576,-1.747638702392578,0.0,0.0,-0.6496646404266356,0.0,0.0
31.84,0.0212127435952425,-0.25337022542953486,-4.788193225860596,0.003272280329838395,-1.755474328994751,0.0,0.0,-0.6496646404266356,0.0,0.0
31.853,0.016890857368707657,-0.09375514090061188,-15.384735107421877,-0.02956712804734707,-1.858310341835022,0.0,0.0,-0.7204763889312744,0.0,0.0
31.867,0.005500028375536203,-0.006973400712013245,-4.593180179595947,-0.08285338431596755,-1.8417568206787107,0.0,0.0,-0.763183355331421,0.0,0.0
31.88,-0.005047726910561323,-0.011345744132995604,2.1043190956115723,-0.10008860379457474,-1.6181540489196775,0.0,0.0,-0.8085298538208007,0.0,0.0
31.893,-0.0025378735736012454,-0.018486499786376957,-1.4051578044891355,-0.05556988343596458,-1.0906654596328735,0.0,0.0,-0.8940447568893432,0.0,0.0
31.907,-0.03085212782025337,0.07666538655757904,-9.485031127929688,-0.07229741662740707,-0.08484894037246704,0.0,0.0,-0.9360915422439576,0.0,0.0
31.92,-0.06873296201229095,0.18622909486293796,-7.651402473449707,-0.12681438028812408,0.5820827484130859,0.0,0.0,-0.9226596355438232,0.0,0.0
31.933,-0.06964423507452011,0.17536398768424988,2.4435863494873047,-0.14387653768062592,-0.18586909770965576,0.0,0.0,-0.9429069161415101,0.0,0.0
31.947,-0.041623614728450775,0.11094368994235992,3.3844470977783203,-0.1380290985107422,-1.2554049491882324,0.0,0.0,-0.9870503544807434,0.0,0.0
31.96,-0.04094766825437546,0.09516240656375885,-2.3384480476379395,-0.1073603257536888,-1.5276777744293213,0.0,0.0,-1.0059869289398191,0.0,0.0
31.973,-0.08501596003770828,0.09138894081115721,-2.6460974216461186,-0.1535378098487854,-1.36120867729187,0.0,0.0,-0.9421458840370177,0.0,0.0
31.987,-0.08533554524183273,0.0915534645318985,0.7583968043327332,-0.12225321680307388,-1.3481498956680298,0.0,0.0,-0.9421458840370177,0.0,0.0
32.0,-0.0720655545592308,0.005920767784118652,7.058049678802489,-0.10981267690658568,-1.3341164588928225,0.0,0.0,-0.88646000623703,0.0,0.0
32.013,-0.06856663525104523,0.0023871660232543945,-5.996187686920166,-0.11878856271505356,-1.6125192642211914,0.0,0.0,-0.9414965510368348,0.0,0.0
32.028,-0.11661888659000395,0.13756394386291504,-8.608989715576174,-0.12527838349342346,-1.7414655685424805,0.0,0.0,-0.934026300907135,0.0,0.0
32.042,-0.11928874999284744,0.22755700349807736,-3.523626804351806,-0.11822497099637984,-1.7999801635742188,0.0,0.0,-0.9656631350517274,0.0,0.0
32.054,-0.11307767778635024,0.3234757781028748,-4.914902210235596,-0.13036450743675232,-1.905251264572144,0.0,0.0,-1.0350911617279053,0.0,0.0
32.067,-0.12718205153942108,0.4667518734931946,-9.449438095092772,-0.180733785033226,-2.082169532775879,0.0,0.0,-1.0713320970535278,0.0,0.0
32.08,-0.1481243520975113,0.5573151707649231,-4.0345139503479,-0.20097571611404416,-2.173832893371582,0.0,0.0,-1.0654361248016355,0.0,0.0
32.094,-0.16874991357326508,0.5261725187301636,3.9252340793609615,-0.26095050573349,-2.161404609680176,0.0,0.0,-1.0725117921829224,0.0,0.0
32.107,-0.18936993181705475,0.43691414594650263,3.575420379638672,-0.3337274491786957,-2.11691689491272,0.0,0.0,-1.0872365236282349,0.0,0.0
32.12,-0.20750243961811063,0.36072829365730286,-0.7173076272010803,-0.38582202792167664,-2.0675511360168457,0.0,0.0,-1.1484558582305908,0.0,0.0
32.134,-0.22707377374172208,0.2911785542964936,-2.654975652694702,-0.43420162796974177,-2.0675034523010254,0.0,0.0,-1.1703532934188845,0.0,0.0
32.147,-0.20908476412296292,0.25935718417167664,-3.305663824081421,-0.39157772064208973,-2.0880284309387207,0.0,0.0,-1.1703532934188845,0.0,0.0
32.161,-0.19916146993637085,0.31055399775505066,-7.497811317443847,-0.3438248634338379,-2.1633138656616206,0.0,0.0,-1.1752369403839111,0.0,0.0
32.174,-0.1921415627002716,0.40990680456161493,-14.133895874023438,-0.3408030867576599,-2.4002747535705566,0.0,0.0,-1.1862554550170898,0.0,0.0
32.187,-0.2514163553714752,0.49371102452278137,1.3663842678070068,-0.38302710652351374,-2.4288558959960938,0.0,0.0,-1.1884423494338987,0.0,0.0
32.2,-0.3107929527759552,0.5400539040565491,2.6781096458435054,-0.4630219638347626,-2.4700264930725098,0.0,0.0,-1.1884423494338987,0.0,0.0
32.214,-0.34698069095611567,0.46096038818359375,11.637389183044434,-0.5270024538040161,-2.441423892974853,0.0,0.0,-1.15487802028656,0.0,0.0
32.227,-0.36234995722770685,0.45868831872940063,-4.389707565307617,-0.5744867324829102,-2.465963363647461,0.0,0.0,-1.1428881883621216,0.0,0.0
32.24,-0.3802221119403839,0.4385228753089905,2.255035877227783,-0.5944467186927795,-2.465930223464966,0.0,0.0,-1.1133570671081543,0.0,0.0
32.254,-0.4034338593482971,0.33874207735061646,2.7519643306732178,-0.6623897552490233,-2.394591808319092,0.0,0.0,-1.0757441520690918,0.0,0.0
32.267,-0.42753517627716064,0.20675978064537048,1.473171949386597,-0.745552957057953,-2.277359962463379,0.0,0.0,-1.089579939842224,0.0,0.0
