t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
14.149,-0.0701303482055664,0.044132709503173835,-9.761153221130371,-0.14597631990909576,-0.7828445434570312,0.0,0.0,-0.16108079254627228,0.0,0.0
14.163,-0.08590591698884963,0.05623625963926315,2.91032075881958,-0.15108555555343628,-0.7891559600830078,0.0,0.0,-0.16108079254627228,0.0,0.0
14.176,-0.12052656710147858,-0.017928846180438995,10.457768440246582,-0.20174038410186768,-0.8077855706214906,0.0,0.0,-0.18296164274215695,0.0,0.0
14.189,-0.16049934923648834,-0.20135945081710813,11.164647102355955,-0.25967299938201904,-0.8687187433242798,0.0,0.0,-0.2293914556503296,0.0,0.0
14.203,-0.14741289615631104,-0.2110945284366608,-4.184667110443115,-0.22586935758590695,-0.8487514853477478,0.0,0.0,-0.247541218996048,0.0,0.0
14.216,-0.19178853929042816,-0.20005828142166135,1.986592531204224,-0.24875283241271973,-0.8577312231063843,0.0,0.0,-0.247541218996048,0.0,0.0
14.229,-0.143201544880867,-0.21686002612113955,-5.291398048400879,-0.229025200009346,-0.8960681557655334,0.0,0.0,-0.26641908288002014,0.0,0.0
14.243,-0.09492098540067671,-0.16074973344802856,-7.78351879119873,-0.1918845027685165,-0.9765574932098388,0.0,0.0,-0.2879016697406769,0.0,0.0
14.256,-0.04904643446207047,-0.08727703988552092,-6.550745487213135,-0.16756710410118103,-1.0533262491226196,0.0,0.0,-0.31655704975128174,0.0,0.0
14.269,-0.0574083998799324,-0.01096700131893158,-3.6296825408935542,-0.2214778959751129,-1.116727352142334,0.0,0.0,-0.33092445135116577,0.0,0.0
14.283,-0.09674927592277528,0.02173714339733124,-2.8685598373413086,-0.24874399602413175,-1.1462873220443726,0.0,0.0,-0.34282368421554565,0.0,0.0
14.296,-0.11026187241077424,-0.04600264132022858,-0.9440839290618896,-0.29813191294670105,-1.162449598312378,0.0,0.0,-0.3661218881607056,0.0,0.0
14.309,-0.14191125333309174,-0.12850166857242584,0.4746235907077789,-0.3382156193256378,-1.1572623252868652,0.0,0.0,-0.4068100452423096,0.0,0.0
14.323,-0.12832801043987274,-0.18622125685215,2.589699506759644,-0.3306485414505005,-1.1484562158584597,0.0,0.0,-0.452134221792221,0.0,0.0
14.336,-0.12409135699272156,-0.20239874720573425,1.48211932182312,-0.32166439294815063,-1.1707212924957275,0.0,0.0,-0.48066878318786627,0.0,0.0
14.349,-0.12748563289642334,-0.18316921591758728,-5.56895875930786,-0.3225076496601105,-1.244073510169983,0.0,0.0,-0.48842233419418335,0.0,0.0
14.363,-0.12155916541814804,-0.17600996792316437,0.44583678245544434,-0.30147871375083923,-1.2547366619110107,0.0,0.0,-0.48842233419418335,0.0,0.0
14.376,-0.08497890830039978,-0.20148472487926483,-4.58253812789917,-0.2823227643966675,-1.2870314121246338,0.0,0.0,-0.4829429090023041,0.0,0.0
14.389,-0.1022334322333336,-0.2327639311552048,-9.545463562011719,-0.3129543662071228,-1.392922043800354,0.0,0.0,-0.496056854724884,0.0,0.0
14.403,-0.06851886957883835,-0.23948566615581512,-3.40501070022583,-0.2738457918167114,-1.4634189605712893,0.0,0.0,-0.5179299712181091,0.0,0.0
14.416,-0.03484685719013214,-0.2141480892896652,-3.0193357467651367,-0.2641059756278992,-1.4931833744049072,0.0,0.0,-0.5179299712181091,0.0,0.0
14.429,-0.08568531274795532,-0.024029776453971863,3.601232051849365,-0.3247556388378144,-1.6213326454162598,0.0,0.0,-0.5684316158294678,0.0,0.0
14.443,-0.13318717479705813,0.09203091263771056,-1.7646018266677856,-0.3678646683692932,-1.685659885406494,0.0,0.0,-0.5914591550827025,0.0,0.0
14.456,-0.1826600730419159,0.14942216873168945,-4.088461875915527,-0.4206898212432861,-1.7338218688964844,0.0,0.0,-0.6214049458503723,0.0,0.0
14.469,-0.22882421314716336,0.17368830740451813,-4.220493793487549,-0.4882608354091644,-1.794424295425415,0.0,0.0,-0.6451030373573303,0.0,0.0
14.483,-0.2374827265739441,0.16289547085762024,-1.391554594039917,-0.5305277109146118,-1.8304629325866697,0.0,0.0,-0.641793966293335,0.0,0.0
14.496,-0.19392654299736023,0.11042261123657228,-1.121923327445984,-0.5090851783752441,-1.834933042526245,0.0,0.0,-0.6290204524993896,0.0,0.0
14.509,-0.15193718671798706,0.08278925716876982,-3.593327283859253,-0.4670496881008148,-1.889577388763428,0.0,0.0,-0.6420760750770569,0.0,0.0
14.523,-0.15885475277900696,0.10325156152248384,-4.78438663482666,-0.4854901731014252,-1.9687066078186035,0.0,0.0,-0.669298529624939,0.0,0.0
14.536,-0.12687131762504578,0.03498643636703491,-8.397193908691406,-0.4784050583839417,-2.0307438373565674,0.0,0.0,-0.7015104293823241,0.0,0.0
14.549,-0.10470980405807497,-0.24872234463691711,-19.550535202026367,-0.442874014377594,-2.0705511569976807,0.0,0.0,-0.7630543708801268,0.0,0.0
14.563,-0.093486487865448,-0.25058954954147333,7.446477890014648,-0.40439233183860773,-2.071805477142334,0.0,0.0,-0.7630543708801268,0.0,0.0
14.576,-0.08388103544712065,-0.26056990027427673,-4.007483959197998,-0.35142990946769714,-2.0906357765197754,0.0,0.0,-0.7676249146461488,0.0,0.0
14.589,-0.0734916403889656,0.07411253452301025,-2.2358267307281494,-0.3092269897460937,-2.236774444580078,0.0,0.0,-0.7959094047546386,0.0,0.0
14.603,-0.0671062022447586,0.27572858333587646,-14.73125457763672,-0.26781114935874933,-2.3236792087554927,0.0,0.0,-0.8442271947860717,0.0,0.0
14.616,-0.12206179648637772,0.341888427734375,2.3993477821350098,-0.3033994138240814,-2.3949544429779053,0.0,0.0,-0.901542067527771,0.0,0.0
14.629,-0.09274521470069885,0.6222512125968933,-32.22001647949219,-0.29966306686401367,-2.449257135391236,0.0,0.0,-0.9615047574043274,0.0,0.0
14.643,-0.06894160062074661,0.7585746645927429,-6.869070053100586,-0.30547693371772766,-2.5996081829071045,0.0,0.0,-1.010054111480713,0.0,0.0
14.656,-0.10158845037221909,0.8375363349914551,-22.716020584106445,-0.34843197464942927,-3.105679988861084,0.0,0.0,-1.03006112575531,0.0,0.0
14.669,-0.15577062964439392,0.91593337059021,-28.076110839843754,-0.40964263677597046,-4.037732601165772,0.0,0.0,-1.0291258096694946,0.0,0.0
14.683,-0.22714176774024963,1.0651636123657229,-31.01177215576172,-0.4943733811378479,-4.607645988464356,0.0,0.0,-1.0052313804626465,0.0,0.0
14.696,-0.2744474709033966,1.3089172840118408,-21.465234756469727,-0.5991126298904419,-4.318195343017577,0.0,0.0,-1.0297000408172607,0.0,0.0
