t,mode,S,prom
0.96,5.0,5.0,-0.02771870866417885
0.97,5.0,5.0,-0.025524005293846127
0.98,5.0,5.0,-0.02332930192351341
0.9900000000000002,5.0,5.0,-0.021501170843839644
1.0,5.0,5.0,-0.019432819634675975
1.01,5.0,5.0,-0.01689740486908704
1.02,5.0,5.0,-0.014391896571032703
1.03,5.0,5.0,-0.011886388272978363
1.04,5.0,5.0,-0.009584792074747384
1.05,5.0,5.0,-0.007053098059259355
1.06,5.0,5.0,-0.004761664988473057
1.07,5.0,5.0,-0.003668879950419069
1.08,5.0,5.0,-0.002576094912365079
1.09,5.0,5.0,-0.0023192519787698985
1.1,5.0,5.0,-0.0026253681164234875
1.11,5.0,5.0,-0.0036271018208935855
1.12,5.0,5.0,-0.004853938869200648
1.13,5.0,5.0,-0.006080775917507708
1.14,5.0,5.0,-0.007049653748981655
1.15,5.0,5.0,-0.007632552046561615
1.16,5.0,5.0,-0.00743312484701164
1.17,5.0,5.0,-0.006255493365461007
1.18,5.0,5.0,-0.005077861883910373
1.19,5.0,5.0,-0.003950041957432404
1.2,5.0,5.0,-0.003657911956543103
1.21,5.0,5.0,-0.004561509523773566
1.22,5.0,5.0,-0.006919598911190405
1.23,5.0,5.0,-0.009277688298607244
1.24,5.0,5.0,-0.011856438039103525
1.25,5.0,5.0,-0.013331068190746007
1.26,5.0,5.0,-0.014247689698822796
1.27,5.0,5.0,-0.015320501197129488
1.28,5.0,5.0,-0.01639331269543618
1.29,5.0,5.0,-0.017545378860086204
1.3,5.0,5.0,-0.01947166137397289
1.31,5.0,5.0,-0.02205608896911144
1.32,5.0,5.0,-0.024190184846520423
1.33,5.0,5.0,-0.026324280723929405
1.34,5.0,5.0,-0.02863673083484173
1.35,5.0,5.0,-0.031856980174779885
1.36,5.0,5.0,-0.035870402306318286
1.37,5.0,5.0,-0.04099876005202532
1.38,5.0,5.0,-0.04612711779773236
1.39,5.0,5.0,-0.052137462422251694
1.401,5.0,5.0,-0.05781085081398487
1.41,5.0,5.0,-0.06267126724123954
1.42,5.0,5.0,-0.06736869066953659
1.431,5.0,5.0,-0.07206611409783363
1.44,5.0,5.0,-0.07687867283821105
1.451,5.0,5.0,-0.08145671263337134
1.461,5.0,5.0,-0.08611765429377555
1.471,5.0,5.0,-0.09256507158279417
1.481,5.0,5.0,-0.09901248887181281
1.491,5.0,5.0,-0.10754014179110528
1.501,5.0,5.0,-0.1168584831058979
1.511,5.0,5.0,-0.12741744592785836
1.521,5.0,5.0,-0.137518048286438
1.531,5.0,5.0,-0.14768148735165595
1.541,5.0,5.0,-0.1525868982076645
1.551,5.0,5.0,-0.14819062650203704
1.561,5.0,5.0,-0.13290366902947426
1.571,5.0,5.0,-0.11455421596765518
1.581,5.0,5.0,-0.09450484737753868
1.591,5.0,5.0,-0.07866768632084131
1.601,5.0,5.0,-0.065776470862329
1.611,5.0,5.0,-0.049075775779783726
1.621,5.0,5.0,-0.029890606226399545
1.631,5.0,5.0,-0.01064259996637702
1.641,5.0,5.0,0.0030849402770400046
1.651,5.0,5.0,0.005482417345046997
1.661,5.0,5.0,-0.0030913453549146646
1.671,5.0,5.0,-0.012212170660495758
1.681,5.0,5.0,-0.023032911494374277
1.691,5.0,5.0,-0.026726956851780413
1.701,5.0,5.0,-0.026047324948012828
1.711,5.0,5.0,-0.029065875522792335
1.721,5.0,5.0,-0.03502194467000663
1.731,5.0,5.0,-0.04097801381722093
1.741,5.0,5.0,-0.04429850149899721
1.751,5.0,5.0,-0.044604973122477534
1.761,5.0,5.0,-0.0440100621432066
1.771,5.0,5.0,-0.042225660383701326
1.781,5.0,5.0,-0.04044125862419605
1.791,5.0,5.0,-0.03779420405626297
1.801,5.0,5.0,-0.03431425387971103
1.811,5.0,5.0,-0.02732682549394667
1.821,5.0,5.0,-0.017289105663076045
1.831,5.0,5.0,-0.007251385832205415
1.841,5.0,5.0,0.0020301157142966985
1.851,5.0,5.0,0.009451764961704611
1.861,5.0,5.0,0.015475765010342002
1.871,5.0,5.0,0.019269567867740988
1.881,5.0,5.0,0.023063370725139976
1.891,5.0,5.0,0.02491372600197792
1.901,5.0,5.0,0.026120501523837446
1.911,5.0,5.0,0.025707339076325296
1.921,5.0,5.0,0.022525450121611355
1.931,5.0,5.0,0.01934356116689741
1.941,5.0,5.0,0.014959074975922705
1.951,5.0,5.0,0.010920327715575696
1.961,5.0,5.0,0.007151638879440725
1.971,5.0,5.0,0.0041434135055169454
1.981,5.0,5.0,0.001135188131593168
1.991,5.0,5.0,-0.001053340989165008
2.001,5.0,5.0,-0.00344951197039336
2.011,5.0,5.0,-0.005832155584357679
2.021,5.0,5.0,-0.007838124898262322
2.031,5.0,5.0,-0.009844094212166964
2.041,5.0,5.0,-0.01188933856319636
2.051,5.0,5.0,-0.013839653902687132
2.061,5.0,5.0,-0.015447760745882989
2.071,5.0,5.0,-0.017403986118733884
2.081,5.0,5.0,-0.019360211491584775
2.091,5.0,5.0,-0.02213568296283484
2.101,5.0,5.0,-0.02511164266616106
2.111,5.0,5.0,-0.02807132378220558
2.121,5.0,5.0,-0.03096721693873405
2.131,5.0,5.0,-0.03386311009526253
2.141,5.0,5.0,-0.0364955460652709
2.151,5.0,5.0,-0.03904128596186639
2.161,5.0,5.0,-0.04107390157878399
2.171,5.0,5.0,-0.04227839224040508
2.181,5.0,5.0,-0.043482882902026176
2.191,5.0,5.0,-0.043894975632429126
2.201,5.0,5.0,-0.04143111649900675
2.211,5.0,5.0,-0.03617910612374544
2.221,5.0,5.0,-0.03271214021369815
2.231,5.0,5.0,-0.029245174303650857
2.241,5.0,5.0,-0.02905312478542328
2.251,5.0,5.0,-0.02934553176164627
2.261,5.0,5.0,-0.02856351584196091
2.271,5.0,5.0,-0.027892334014177324
2.281,5.0,5.0,-0.027221152186393736
2.291,5.0,5.0,-0.027878116443753244
2.301,5.0,5.0,-0.03189665619283914
2.311,5.0,5.0,-0.038223523460328576
2.321,5.0,5.0,-0.041074850875884285
2.331,5.0,5.0,-0.04392617829144001
2.341,5.0,5.0,-0.042749821394681926
2.351,5.0,5.0,-0.041557266376912594
2.361,5.0,5.0,-0.0418393237516284
2.371,5.0,5.0,-0.04170742277055979
2.381,5.0,5.0,-0.04157552178949118
2.391,5.0,5.0,-0.039813769049942486
2.401,5.0,5.0,-0.036882445402443405
2.411,5.0,5.0,-0.03328793775290251
2.421,5.0,5.0,-0.03078540340065956
2.431,5.0,5.0,-0.028282869048416613
2.441,5.0,5.0,-0.02680929535999894
2.451,5.0,5.0,-0.024930064287036657
2.461,5.0,5.0,-0.022885649651288986
2.471,5.0,5.0,-0.020994947943836446
2.481,5.0,5.0,-0.019104246236383918
2.491,5.0,5.0,-0.017267080210149287
2.501,5.0,5.0,-0.015992390178143977
2.511,5.0,5.0,-0.01627094279974699
2.521,5.0,5.0,-0.01750090941786766
2.531,5.0,5.0,-0.018730876035988327
2.541,5.0,5.0,-0.01961458465084433
2.551,5.0,5.0,-0.019535367470234637
2.561,5.0,5.0,-0.018208029633387923
2.571,5.0,5.0,-0.01641733378637582
2.581,5.0,5.0,-0.014626637939363718
