t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
29.204,-1.0258132219314575,-0.13559763133525848,4.490067005157472,-1.8968946933746336,0.6049056649208069,0.0,0.0,0.7349762320518493,0.0,0.0
29.218,-0.9780510663986206,-0.111957885324955,1.3144835233688354,-1.8587862253189087,0.6052501797676086,0.0,0.0,0.7634294629096986,0.0,0.0
29.231,-0.9649397134780883,-0.07173359394073486,-4.827520370483398,-1.828291654586792,0.6142000555992128,0.0,0.0,0.7517549991607666,0.0,0.0
29.244,-0.980106770992279,-0.05142352730035782,0.3472365438938141,-1.8488335609436035,0.5994282960891724,0.0,0.0,0.7517549991607666,0.0,0.0
29.258,-0.9970370531082152,-0.06634660810232162,-1.275104284286499,-1.8326090574264529,0.6086771488189697,0.0,0.0,0.729087471961975,0.0,0.0
29.271,-1.0008971691131592,-0.034855931997299194,1.5991798639297483,-1.8164260387420652,0.6231542825698853,0.0,0.0,0.7308403253555299,0.0,0.0
29.284,-1.0229780673980713,-0.05894385278224945,3.397858142852783,-1.810147047042847,0.6656007170677185,0.0,0.0,0.7615255117416381,0.0,0.0
29.298,-1.0367363691329956,-0.07296610623598099,0.5131334066390991,-1.813144326210022,0.6690608263015747,0.0,0.0,0.7615255117416381,0.0,0.0
29.311,-1.0309207439422607,-0.16503433883190155,10.004064559936523,-1.803649663925171,0.8061338663101196,0.0,0.0,0.8521617650985719,0.0,0.0
29.324,-0.9775357842445372,-0.2020855098962784,2.299813032150269,-1.735179781913757,0.914742112159729,0.0,0.0,0.8750219941139221,0.0,0.0
29.338,-0.9462199807167053,-0.19815376400947568,-1.7741068601608276,-1.7007620334625244,0.9484776854515076,0.0,0.0,0.8682833313941956,0.0,0.0
29.351,-0.9231637716293336,-0.19786776602268216,-3.4521727561950684,-1.6673673391342163,0.9621614813804625,0.0,0.0,0.8532205820083617,0.0,0.0
29.364,-0.9090617299079896,-0.23264029622077945,-0.40154904127120966,-1.614345908164978,1.0050950050354004,0.0,0.0,0.8492894172668458,0.0,0.0
29.378,-0.9191023707389832,-0.2616913914680481,2.6773786544799805,-1.590045928955078,1.022499442100525,0.0,0.0,0.8583134412765504,0.0,0.0
29.391,-0.896229088306427,-0.25310862064361567,1.6801937818527222,-1.5746243000030518,1.0176447629928589,0.0,0.0,0.872841715812683,0.0,0.0
29.404,-0.922795593738556,-0.249102383852005,0.6452009081840515,-1.6134213209152222,1.0042766332626345,0.0,0.0,0.8925533294677734,0.0,0.0
29.418,-0.927065670490265,-0.26368647813797,0.6482049822807312,-1.5999736785888672,1.051032304763794,0.0,0.0,0.9156187772750854,0.0,0.0
29.431,-0.8879104256629943,-0.22251939773559568,0.2007879316806793,-1.5654098987579346,1.0890882015228271,0.0,0.0,0.8854720592498779,0.0,0.0
29.444,-0.8612532019615173,-0.22071352601051328,1.2055926322937012,-1.534999132156372,1.1068894863128662,0.0,0.0,0.8446354866027832,0.0,0.0
29.458,-0.8417368531227111,-0.19861784577369687,-3.7974379062652583,-1.4994313716888428,1.0972952842712402,0.0,0.0,0.8446354866027832,0.0,0.0
29.471,-0.7968728542327882,-0.1823101490736008,-4.756607055664063,-1.4233624935150146,1.0338650941848757,0.0,0.0,0.8063039779663086,0.0,0.0
29.485,-0.7578666806221008,-0.16601808369159698,-1.0630332231521606,-1.3744549751281738,1.007411003112793,0.0,0.0,0.7974070310592651,0.0,0.0
29.498,-0.7741583585739135,-0.1643197387456894,-0.49474015831947327,-1.4181983470916748,0.9823907017707824,0.0,0.0,0.7862939834594727,0.0,0.0
29.511,-0.7896948456764221,-0.13469128310680387,-2.288451671600342,-1.3844199180603027,0.9630752205848692,0.0,0.0,0.7725139260292053,0.0,0.0
29.524,-0.769703507423401,-0.12458424270153046,-0.22090226411819455,-1.343510985374451,0.9808966517448424,0.0,0.0,0.7619318962097168,0.0,0.0
29.538,-0.7595800757408142,-0.1361156702041626,-2.37317156791687,-1.337096095085144,0.9642348289489746,0.0,0.0,0.7520737648010254,0.0,0.0
29.551,-0.7415322065353394,-0.18275174498558044,-4.064069747924805,-1.3241176605224607,0.9874212741851807,0.0,0.0,0.7356565594673156,0.0,0.0
29.565,-0.7339587807655334,-0.20878785848617556,-3.047094345092773,-1.2951207160949707,1.0469913482666016,0.0,0.0,0.7178248167037964,0.0,0.0
29.578,-0.7326440215110778,-0.16969688236713407,1.9027501344680784,-1.258908987045288,1.0584009885787964,0.0,0.0,0.7167265415191649,0.0,0.0
29.591,-0.7626205682754515,-0.14744725823402405,5.677056312561035,-1.26097571849823,1.0211516618728638,0.0,0.0,0.7488445639610289,0.0,0.0
29.604,-0.8007104992866515,-0.14030219614505768,-0.053767114877700806,-1.3127607107162476,0.9708524942398072,0.0,0.0,0.7488445639610289,0.0,0.0
29.618,-0.7764678001403807,-0.15832078456878662,1.4539629220962524,-1.2730767726898191,0.9906091094017028,0.0,0.0,0.7429520487785339,0.0,0.0
29.631,-0.7330484390258789,-0.17659808695316315,0.16299337148666382,-1.2153077125549316,1.0204832553863523,0.0,0.0,0.7075392603874208,0.0,0.0
29.644,-0.707960844039917,-0.19410268962383273,0.16793981194496155,-1.1905035972595217,1.0265398025512695,0.0,0.0,0.7123476266860962,0.0,0.0
29.658,-0.7143958210945129,-0.21072691679000852,0.5236364603042603,-1.1732574701309204,1.0662968158721924,0.0,0.0,0.7123476266860962,0.0,0.0
29.671,-0.6697958111763,-0.17883816361427307,-2.9111557006835938,-1.0997754335403442,1.1093873977661133,0.0,0.0,0.7068646550178528,0.0,0.0
29.684,-0.6328725814819336,-0.15742498636245728,-0.6295993924140929,-1.0340816974639893,1.1597621440887451,0.0,0.0,0.7060377597808838,0.0,0.0
29.698,-0.658437967300415,-0.16357287764549255,-0.18986463546752927,-1.0828155279159546,1.1333243846893313,0.0,0.0,0.7238681316375731,0.0,0.0
29.711,-0.6558232307434082,-0.18964463472366333,5.640017032623291,-1.0374202728271484,1.2205618619918823,0.0,0.0,0.7568773031234741,0.0,0.0
29.724,-0.6413888931274414,-0.21034684777259827,2.7869515419006348,-1.0082279443740845,1.2609639167785645,0.0,0.0,0.785994827747345,0.0,0.0
29.738,-0.6515288949012756,-0.2025292366743088,0.5120716691017151,-1.0319502353668213,1.2301454544067385,0.0,0.0,0.7953103780746461,0.0,0.0
29.751,-0.6402096748352051,-0.19355542957782745,-2.6369445323944087,-1.0209052562713623,1.2166707515716553,0.0,0.0,0.7901408076286317,0.0,0.0
29.764,-0.6135807037353516,-0.20661503076553345,-2.696675062179565,-0.9468374252319337,1.262092351913452,0.0,0.0,0.7786623239517213,0.0,0.0
29.778,-0.578277587890625,-0.21330650150775907,-1.760101318359375,-0.8965517282485963,1.2742223739624023,0.0,0.0,0.7557517290115356,0.0,0.0
29.791,-0.5371808409690857,-0.20785893499851227,-3.578743934631348,-0.8247504234313965,1.278237223625183,0.0,0.0,0.7235288619995117,0.0,0.0
29.804,-0.5501654744148254,-0.15663057565689087,-0.03047659993171692,-0.8769592046737672,1.2201355695724487,0.0,0.0,0.6992330551147461,0.0,0.0
29.818,-0.5581570267677307,-0.1288602650165558,0.2526797354221344,-0.8790250420570372,1.2216163873672483,0.0,0.0,0.696984589099884,0.0,0.0
29.831,-0.5954980254173279,-0.1564754843711853,5.8897061347961435,-0.9123682975769043,1.2628185749053955,0.0,0.0,0.7605539560317993,0.0,0.0
29.844,-0.632982611656189,-0.14406225085258484,-1.7173155546188354,-0.9532327055931091,1.2503138780593872,0.0,0.0,0.7605539560317993,0.0,0.0
29.858,-0.6144775748252869,-0.17107489705085754,-0.3268986940383911,-0.9193857312202451,1.2277870178222656,0.0,0.0,0.7687446475028991,0.0,0.0
29.871,-0.5888776779174805,-0.1827161014080048,-9.442558288574217,-0.8714755177497863,1.1891626119613647,0.0,0.0,0.6907340884208679,0.0,0.0
29.884,-0.5466744303703308,-0.17980673909187317,-1.3613373041152954,-0.8079220056533812,1.185090184211731,0.0,0.0,0.6621232628822327,0.0,0.0
29.898,-0.5017820000648499,-0.18479447066783905,0.974269926548004,-0.7512803673744202,1.19294011592865,0.0,0.0,0.6621232628822327,0.0,0.0
29.911,-0.4981464743614197,-0.18023657798767087,3.593125104904175,-0.7263408303260803,1.2479020357131958,0.0,0.0,0.6926372051239014,0.0,0.0
29.924,-0.47431826591491694,-0.2074004113674164,5.890242576599121,-0.6731076836586,1.3600878715515137,0.0,0.0,0.7488954067230223,0.0,0.0
29.938,-0.4474901556968689,-0.233541339635849,5.474401950836182,-0.6248862147331238,1.4789068698883057,0.0,0.0,0.8057488799095155,0.0,0.0
29.951,-0.4137661755084992,-0.22168514132499692,1.2125842571258545,-0.5777907967567444,1.5525391101837158,0.0,0.0,0.8347117304801941,0.0,0.0
29.965,-0.38358312845230097,-0.16394688189029694,-0.6783328652381897,-0.5634772777557373,1.557368278503418,0.0,0.0,0.8335702419281006,0.0,0.0
29.978,-0.4236788749694824,-0.1032489687204361,-2.430671453475952,-0.6118744611740112,1.5223253965377808,0.0,0.0,0.8228634595870972,0.0,0.0
29.991,-0.46430814266204834,-0.08643528819084166,-6.177341938018799,-0.6562172770500183,1.5002665519714355,0.0,0.0,0.8178243041038513,0.0,0.0
30.004,-0.4403273165225983,-0.08505652844905853,1.1783435344696045,-0.5973101258277893,1.4962127208709717,0.0,0.0,0.8091545701026915,0.0,0.0
30.018,-0.41526892781257624,-0.11156132817268372,-3.413944721221924,-0.5448665022850037,1.4777848720550537,0.0,0.0,0.791678786277771,0.0,0.0
30.031,-0.43162044882774353,-0.13905678689479828,-0.8204206824302673,-0.5706866979598999,1.4329780340194702,0.0,0.0,0.7842211723327636,0.0,0.0
30.044,-0.4468464255332946,-0.1491166353225708,1.7564154863357544,-0.6036443114280701,1.4352174997329712,0.0,0.0,0.7842211723327636,0.0,0.0
30.058,-0.4593822062015533,-0.12526002526283264,0.352071225643158,-0.638088583946228,1.4154269695281982,0.0,0.0,0.7895846962928771,0.0,0.0
30.071,-0.423615425825119,-0.04624667763710023,-5.05980396270752,-0.6013079285621643,1.297871470451355,0.0,0.0,0.7318342924118042,0.0,0.0
30.085,-0.4031985700130463,-0.03460131585597992,-4.7414770126342765,-0.5632361173629761,1.2383406162261963,0.0,0.0,0.6889360547065735,0.0,0.0
30.098,-0.4372631907463074,-0.029530823230743408,-0.4046022891998291,-0.59516441822052,1.2339820861816406,0.0,0.0,0.6555742025375366,0.0,0.0
30.111,-0.427603542804718,-0.06191301345825195,-6.8079915046691895,-0.5463326573371887,1.1844847202301023,0.0,0.0,0.6303410530090332,0.0,0.0
30.124,-0.45035338401794434,-0.08569841831922531,0.3437954783439636,-0.5915138721466064,1.1673911809921265,0.0,0.0,0.6198660135269165,0.0,0.0
30.138,-0.43848276138305664,-0.10959844291210176,1.6503933668136597,-0.5524348020553589,1.1929328441619873,0.0,0.0,0.6265833973884584,0.0,0.0
30.151,-0.3942755162715912,-0.13159874081611633,3.5666697025299072,-0.4882943630218506,1.2581692934036257,0.0,0.0,0.6405396461486816,0.0,0.0
30.165,-0.3455624282360077,-0.14158029854297638,3.608150005340576,-0.41868618130683893,1.3368533849716189,0.0,0.0,0.6558337211608887,0.0,0.0
30.178,-0.29671281576156616,-0.13697466254234314,3.2929098606109615,-0.3470289409160614,1.3804028034210205,0.0,0.0,0.6751957535743713,0.0,0.0
30.192,-0.29335108399391174,-0.13723637163639069,3.241909980773926,-0.3238221406936645,1.4030814170837402,0.0,0.0,0.7041543126106262,0.0,0.0
30.205,-0.30846911668777466,-0.13232775032520294,4.45015811920166,-0.3756411373615265,1.433182716369629,0.0,0.0,0.7407178282737733,0.0,0.0
30.218,-0.28478938341140747,-0.1110529527068138,3.111445188522339,-0.3213834762573242,1.4740078449249268,0.0,0.0,0.7707427740097046,0.0,0.0
30.232,-0.3220052123069763,-0.08514793217182158,-0.6734445691108704,-0.365594744682312,1.461484670639038,0.0,0.0,0.7703453302383424,0.0,0.0
30.245,-0.3046315908432007,-0.08589941263198851,0.538925051689148,-0.3546807467937469,1.4556339979171753,0.0,0.0,0.7572261095046997,0.0,0.0
30.258,-0.34534546732902527,-0.10133831202983856,-2.982533693313598,-0.40597930550575256,1.440490961074829,0.0,0.0,0.7572261095046997,0.0,0.0
30.272,-0.3335617482662201,-0.10540859401226044,-4.245677471160889,-0.3730244934558869,1.3544723987579346,0.0,0.0,0.7138954401016235,0.0,0.0
30.285,-0.3652063608169556,-0.10368426889181136,-4.031974792480469,-0.4076847136020661,1.2718281745910645,0.0,0.0,0.6744217872619629,0.0,0.0
30.298,-0.32499122619628906,-0.10975836217403412,2.7338547706604004,-0.38020020723342896,1.2805137634277344,0.0,0.0,0.6428453326225281,0.0,0.0
30.312,-0.34764882922172546,-0.121066614985466,-5.947089672088623,-0.37955775856971746,1.1405513286590576,0.0,0.0,0.6217506527900696,0.0,0.0
30.325,-0.36025911569595337,-0.1424580216407776,2.7897768020629883,-0.4093845188617706,1.0897080898284912,0.0,0.0,0.5927587151527405,0.0,0.0
30.338,-0.3136325776576996,-0.16824348270893097,0.8495561480522157,-0.3685749471187592,1.0515931844711304,0.0,0.0,0.5565454959869385,0.0,0.0
30.352,-0.3269076347351074,-0.1899820566177368,1.1169188022613523,-0.3875716626644135,1.0240895748138428,0.0,0.0,0.5349469184875488,0.0,0.0
30.365,-0.30093294382095337,-0.20976516604423523,2.1851508617401123,-0.35929110646247864,1.020338535308838,0.0,0.0,0.5328652262687683,0.0,0.0
30.378,-0.2810823619365692,-0.24639713764190677,3.6907441616058354,-0.3284169137477875,1.037756085395813,0.0,0.0,0.5384801626205444,0.0,0.0
30.392,-0.25849151611328125,-0.3169944882392884,5.478407382965088,-0.2822376489639282,1.110197901725769,0.0,0.0,0.5395918488502502,0.0,0.0
30.405,-0.2831641435623169,-0.33072483539581293,-1.9639134407043457,-0.3248713612556457,1.1199674606323242,0.0,0.0,0.5395918488502502,0.0,0.0
30.418,-0.2599330544471741,-0.36984640359878546,4.100480556488037,-0.27290067076683044,1.1693663597106934,0.0,0.0,0.5546169281005859,0.0,0.0
30.432,-0.23161256313323972,-0.40550366044044495,10.297026634216309,-0.20593999326229093,1.185336351394653,0.0,0.0,0.6102075576782227,0.0,0.0
30.445,-0.20094799995422363,-0.407466858625412,-0.3940969705581665,-0.166534423828125,1.1198165416717527,0.0,0.0,0.626315712928772,0.0,0.0
30.458,-0.18033926188945767,-0.3958397805690765,-1.6023159027099607,-0.1467408686876297,1.1123590469360352,0.0,0.0,0.626315712928772,0.0,0.0
30.472,-0.22096066176891327,-0.361229419708252,-2.319424629211426,-0.18984661996364596,0.9634057283401488,0.0,0.0,0.6187909245491028,0.0,0.0
30.485,-0.20426779985427856,-0.35694319009780884,-5.854470729827881,-0.17733193933963776,0.879449188709259,0.0,0.0,0.5809460878372192,0.0,0.0
30.498,-0.24211572110652924,-0.3537841737270355,-0.7070593237876892,-0.22494523227214813,0.8274847269058228,0.0,0.0,0.5340572595596313,0.0,0.0
30.512,-0.2460240721702576,-0.38904553651809687,-17.132001876831055,-0.2258959859609604,0.6694529056549072,0.0,0.0,0.44815051555633545,0.0,0.0
30.525,-0.2561813294887543,-0.496052622795105,-8.854022979736328,-0.23548392951488492,0.623751163482666,0.0,0.0,0.4392136037349701,0.0,0.0
30.538,-0.2168411016464233,-0.537024199962616,-8.930257797241211,-0.1812646836042404,0.5961291790008545,0.0,0.0,0.4654630124568939,0.0,0.0
30.552,-0.17929264903068542,-0.524078369140625,3.7722229957580566,-0.1327231228351593,0.5976622104644777,0.0,0.0,0.2952720820903778,0.0,0.0
30.565,-0.15516647696495056,-0.5467635989189148,10.136521339416504,-0.09885695576667784,0.7004967927932739,0.0,0.0,0.12230117619037628,0.0,0.0
30.578,-0.19581082463264465,-0.5783716440200806,5.673763751983643,-0.09853805601596832,0.8322420716285706,0.0,0.0,0.07030454277992249,0.0,0.0
30.592,-0.2058447301387787,-0.5548322200775146,-7.616574764251709,-0.12000621110200882,0.8841664791107178,0.0,0.0,0.03689536452293396,0.0,0.0
30.605,-0.18248806893825528,-0.5829609632492065,0.36029666662216187,-0.10458054393529892,0.8453679084777832,0.0,0.0,0.025581477209925648,0.0,0.0
30.618,-0.16387826204299927,-0.5988571643829346,-9.489420890808104,-0.09918965399265288,0.757656157016754,0.0,0.0,0.024850688874721527,0.0,0.0
30.632,-0.15023407340049744,-0.3779407441616058,-23.018709182739254,-0.04205882549285889,0.3794997930526733,0.0,0.0,0.025591500103473663,0.0,0.0
30.645,-0.13632765412330627,-0.3181067109107971,7.8348517417907715,0.014785746112465858,0.36774694919586176,0.0,0.0,0.025591500103473663,0.0,0.0
30.658,-0.12413916736841202,-0.218789666891098,-12.20340633392334,0.06555259972810745,0.16003665328025818,0.0,0.0,0.023144464939832687,0.0,0.0
30.672,-0.10758153349161148,0.10521557927131651,-15.74161434173584,0.11771761626005171,-0.21986545622348783,0.0,0.0,-0.003308528568595648,0.0,0.0
30.685,-0.08935438841581345,0.28143858909606934,1.7630209922790527,0.15071360766887665,-0.35651037096977234,0.0,0.0,-0.00033951434306800365,0.0,0.0
30.698,-0.08113513141870497,0.28178393840789795,1.7465360164642334,0.18514814972877505,-0.3484833836555481,0.0,0.0,-0.00033951434306800365,0.0,0.0
30.712,-0.0759856179356575,0.6070471405982971,-14.748177528381348,0.1659013330936432,-0.5724106431007385,0.0,0.0,-0.013574370183050632,0.0,0.0
30.725,-0.05019735544919968,0.7095224261283875,-6.547826290130615,0.18481728434562683,-0.6731611490249634,0.0,0.0,-0.03358079493045807,0.0,0.0
