time,ax,ay,az,gx,gy,gz
1746730180.3257446,-1.73,-9.37,-8.32,-0.07,-0.22,-0.24
1746730180.3587868,-1.7,-9.39,-8.78,-0.06,-0.34,-0.35
1746730180.3587868,-1.05,-10.01,-10.35,-0.02,-0.53,-0.43
1746730180.3587868,-0.74,-10.6,-10.23,0.2,-0.71,-0.32
1746730180.3670115,-1.35,-11.45,-10.12,0.33,-0.81,-0.09
1746730180.375425,0.92,-16.21,-13.76,0.35,-1.02,0.22
1746730180.3918543,-6.03,-5.55,-9.64,1.27,-0.68,-0.21
1746730180.4001472,-0.14,-12.34,-13.61,2.6,-0.8,-0.85
1746730180.408356,1.15,-13.37,-9.47,3.15,-1.12,-0.68
1746730180.4167984,-0.65,-12.23,-5.89,3.17,-0.84,-0.6
1746730180.4334874,0.6,-14.73,-8.32,2.95,-0.62,-0.44
1746730180.4749174,-3.04,-13.91,-8.1,3.36,-0.62,-0.27
1746730180.4749174,-4.13,-9.7,-7.86,3.34,-0.58,-0.61
1746730180.4749174,-3.34,-12.02,-7.59,3.73,-0.76,-0.78
1746730180.4749174,-4.49,-11.46,-3.1,4.31,-0.84,-0.82
1746730180.4832253,-4.2,-12.65,-1.72,3.45,-0.5,-1.42
1746730180.4912608,-1.84,-16.76,-4.95,1.74,-0.38,-1.42
1746730180.4996543,-2.06,-14.14,-9.59,0.71,-0.01,-1.13
1746730180.5080943,-1.47,-11.21,-14.15,0.26,0.09,-1.05
1746730180.5165544,-3.01,-7.18,-15.54,0.51,-0.13,-1.01
1746730180.5334363,-0.01,-11.57,-15.34,1.6,-0.45,-0.9
1746730180.5693815,-2.13,-12.19,-11.32,1.23,-0.39,-0.32
1746730180.6060596,-2.6,-10.13,-12.1,0.01,-0.35,-0.31
1746730180.6060596,-2.53,-8.45,-14.35,-0.4,-0.3,-0.34
1746730180.6060596,-2.42,-7.61,-15.22,-0.02,-0.41,-0.34
1746730180.6060596,-2.56,-8.57,-13.39,0.5,-0.49,-0.26
1746730180.6060596,-2.82,-10.89,-10.33,0.49,-0.39,-0.08
1746730180.61435,-2.89,-12.56,-7.7,-0.22,-0.13,0.14
1746730180.6153588,-3.29,-12.06,-7.13,-1.31,0.26,0.31
1746730180.6225052,-3.63,-9.65,-9.73,-2.03,0.55,0.38
1746730180.6309407,-3.47,-7.36,-12.08,-2.0,0.69,0.36
1746730180.6557693,-2.93,-7.47,-12.2,-1.43,0.71,0.38
1746730180.6557693,-3.15,-8.96,-10.0,-1.16,0.78,0.46
1746730180.6557693,-3.29,-10.06,-8.09,-1.66,0.96,0.47
1746730180.6723242,-3.08,-9.43,-8.9,-2.22,1.15,0.48
1746730180.680654,-2.82,-8.48,-10.61,-2.2,1.19,0.45
1746730180.6890562,-2.7,-8.74,-10.81,-1.87,1.13,0.46
1746730180.697537,-2.78,-9.92,-9.48,-1.69,1.09,0.49
1746730180.706054,-3.23,-11.32,-8.2,-1.78,1.08,0.54
1746730180.7226698,-3.45,-12.47,-6.51,-1.83,1.05,0.61
1746730180.731223,-3.53,-13.5,-4.53,-2.05,1.12,0.72
1746730180.7802682,-3.26,-13.65,-4.05,-2.74,1.3,0.79
1746730180.7802682,-3.16,-11.76,-5.51,-3.3,1.4,0.91
1746730180.788449,-3.39,-9.95,-7.08,-3.0,1.41,0.97
1746730180.788449,-3.44,-9.45,-7.01,-2.43,1.31,0.98
1746730180.788449,-3.16,-9.5,-5.96,-2.15,1.29,0.96
1746730180.788449,-2.38,-9.11,-6.12,-2.06,1.29,0.97
1746730180.7968745,-1.91,-9.23,-7.53,-1.82,1.22,0.99
1746730180.8051717,-1.19,-10.02,-7.76,-1.14,0.95,1.07
1746730180.8216345,-0.45,-12.3,-5.99,-0.46,0.51,1.18
1746730180.8299549,0.05,-15.56,-2.57,-0.26,0.31,1.63
1746730180.8548367,-0.07,-16.25,1.53,-0.4,0.39,2.07
1746730180.8548367,-0.16,-16.72,3.22,-1.44,0.84,2.29
1746730180.8633888,-12.24,-3.62,9.8,-2.75,2.45,1.86
1746730180.8709068,1.63,-5.93,-6.45,-4.37,2.83,0.65
1746730180.879312,5.24,-6.5,-10.92,-3.91,1.46,-0.04
1746730180.8875082,6.53,-10.47,-10.56,-1.01,0.07,0.68
1746730180.896032,3.76,-11.37,-2.74,0.18,-0.25,1.36
1746730180.9122343,1.77,-10.71,0.25,-0.6,0.03,1.53
1746730180.920493,0.88,-10.01,-0.77,-1.79,0.12,1.5
1746730180.9289412,1.36,-8.87,-1.51,-1.82,-0.1,1.43
1746730180.9538589,0.24,-8.6,-0.38,-1.24,-0.14,1.35
1746730180.9538589,-0.41,-7.67,0.93,-1.65,0.07,1.18
1746730180.9619968,0.43,-5.89,-1.28,-2.3,0.31,0.86
1746730180.9703498,1.05,-3.66,-3.61,-2.12,0.34,0.56
1746730180.9787986,1.03,-1.74,-5.74,-1.05,0.2,0.16
1746730180.9870274,0.71,-1.31,-5.15,0.34,-0.08,-0.33
1746730180.995534,-0.02,-2.52,-1.29,1.1,-0.19,-0.88
1746730181.011772,-0.05,-2.49,1.77,1.02,-0.12,-1.58
